stock_code,total_units,total_revenue,active_months,avg_monthly_units,std_monthly_units,avg_unit_price,total_orders,description,demand_cv,sku_class,recommended_action
15056bl,87,1086.88,13,6.6923076923076925,3.092588327615327,12.48,62,EDWARDIAN PARASOL BLACK,0.462110899528727,Long-Tail,Limit stock and avoid excessive local warehouse space
15056n,127,1585.28,12,10.583333333333334,6.229815892994435,12.481666666666667,84,EDWARDIAN PARASOL NATURAL,0.5886440213853009,Regular,Maintain standard replenishment review
15056p,33,412.48,13,2.5384615384615383,1.8081014266989475,12.48,26,EDWARDIAN PARASOL PINK,0.7122823802147369,Long-Tail,Limit stock and avoid excessive local warehouse space
15058A,200,1668.49,10,20.0,22.715633383201094,9.173219449149883,89,BLUE POLKADOT GARDEN PARASOL,1.1357816691600546,Regular,Maintain standard replenishment review
15058B,228,1885.27,11,20.727272727272727,25.904018642252826,11.12354025974026,97,PINK POLKADOT GARDEN PARASOL,1.249755285371847,Regular,Maintain standard replenishment review
15058C,240,1429.82,11,21.818181818181817,30.6751305842964,9.867766299357207,72,ICE CREAM DESIGN GARDEN PARASOL,1.4059434851135852,Regular,Maintain standard replenishment review
15060B,451,1807.55,12,37.583333333333336,27.036871569070712,4.8353544002293996,131,FAIRY CAKE DESIGN UMBRELLA,0.7193846093766043,Regular,Maintain standard replenishment review
15060b,3,24.869999999999997,3,1.0,0.0,8.29,3,FAIRY CAKE DESIGN UMBRELLA,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16008,2892,360.71,11,262.90909090909093,270.34365335456073,0.17136363636363636,70,SMALL FOLDING SCISSOR(POINTED EDGE),1.028278072925369,High-Turnover Stable,Keep stable local warehouse inventory
16010,30,3.5999999999999996,3,10.0,3.4641016151377544,0.12,3,FOLDING CAMPING SCISSOR W/KNIF & S,0.34641016151377546,Long-Tail,Limit stock and avoid excessive local warehouse space
16011,1749,367.28999999999996,13,134.53846153846155,91.46731236222715,0.21,46,ANIMAL STICKERS,0.6798599546649244,Regular,Maintain standard replenishment review
16012,1220,256.2,11,110.9090909090909,103.11203086493306,0.21,35,FOOD/DRINK SPONGE STICKERS,0.9296986389461178,Regular,Maintain standard replenishment review
16014,13328,4335.76,13,1025.2307692307693,1185.1350945388851,0.4010805860805861,54,SMALL CHINESE STYLE SCISSOR,1.15596910481734,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
16015,662,289.98,10,66.2,87.2745349139395,0.48949999999999994,24,MEDIUM CHINESE STYLE SCISSOR,1.31834644885105,Regular,Maintain standard replenishment review
16016,1273,1053.45,13,97.92307692307692,76.99508808842022,0.846,65,LARGE CHINESE STYLE SCISSOR,0.7862813394732623,Regular,Maintain standard replenishment review
16020C,84,69.89999999999999,4,21.0,27.483328279765054,0.8408333333333333,17,CLEAR STATIONERY BOX SET,1.3087299180840501,Long-Tail,Limit stock and avoid excessive local warehouse space
16033,840,100.79999999999998,3,280.0,183.3030277982336,0.12,4,MINI HIGHLIGHTER PENS,0.6546536707079771,Regular,Maintain standard replenishment review
16043,98,11.759999999999998,1,98.0,0.0,0.12,2,POP ART PUSH DOWN RUBBER,0.0,Regular,Maintain standard replenishment review
16045,8900,380.0,9,988.8888888888889,706.124005477162,0.05777777777777778,68,POPART WOODEN PENCILS ASST,0.714057983066793,High-Turnover Stable,Keep stable local warehouse inventory
16046,65,55.25,10,6.5,9.095175766428168,0.85,14,TEATIME PEN CASE & PENS,1.3992578102197182,Long-Tail,Limit stock and avoid excessive local warehouse space
16048,1460,205.3,13,112.3076923076923,94.864275516291,0.44699938949938944,67,TEATIME ROUND PENCIL SHARPENER,0.8446819052820432,Regular,Maintain standard replenishment review
16049,504,82.08000000000001,2,252.0,305.47012947258855,0.3075,5,TEATIME GEL PENS ASST,1.212183053462653,Regular,Maintain standard replenishment review
16052,479,115.3,6,79.83333333333333,155.70923757653773,0.6643333333333333,13,TEATIME PUSH DOWN RUBBER,1.9504288631716626,Regular,Maintain standard replenishment review
16054,1166,140.52,8,145.75,118.02874952436679,0.1575,33,POPART RECT PENCIL SHARPENER ASST,0.8098027411620363,Regular,Maintain standard replenishment review
16151A,49,61.25,1,49.0,0.0,1.25,3,FLOWERS HANDBAG BLUE AND ORANGE,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16156L,475,199.5,10,47.5,21.88987589427283,0.42000000000000004,18,"WRAP, CAROUSEL",0.4608394925110069,Regular,Maintain standard replenishment review
16156S,5800,2331.0,13,446.15384615384613,250.3843199809199,0.41781574546734723,167,WRAP PINK FAIRY CAKES,0.561206234439993,High-Turnover Stable,Keep stable local warehouse inventory
16161G,700,70.0,9,77.77777777777777,57.88518328937418,0.1,22,WRAP BAD HAIR DAY,0.7442380708633825,Regular,Maintain standard replenishment review
16161M,25,10.5,1,25.0,0.0,0.42,1,WRAP  PINK FLOCK,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16161P,7201,2980.42,13,553.9230769230769,303.0540275095244,0.41944240944240946,248,WRAP ENGLISH ROSE,0.5471048962121674,High-Turnover Stable,Keep stable local warehouse inventory
16161U,4075,1687.5,13,313.46153846153845,196.4835088010422,0.41967032967032963,134,WRAP SUKI AND FRIENDS,0.6268185556843064,High-Turnover Stable,Keep stable local warehouse inventory
16162L,20,13.0,5,4.0,3.7416573867739413,0.65,8,THE KING GIFT BAG,0.9354143466934853,Long-Tail,Limit stock and avoid excessive local warehouse space
16162M,28,11.76,3,9.333333333333334,5.033222956847167,0.42,8,THE KING GIFT BAG 25X24X12CM,0.539273888233625,Long-Tail,Limit stock and avoid excessive local warehouse space
16168M,371,173.12,12,30.916666666666668,19.810274346837545,0.6505833333333333,41,FUNKY MONKEY GIFT BAG MEDIUM,0.6407635907332898,Regular,Maintain standard replenishment review
16169E,4563,1892.46,6,760.5,594.5811130535513,0.41952564809707665,149,WRAP 50'S  CHRISTMAS,0.7818292084859321,High-Turnover Stable,Keep stable local warehouse inventory
16169K,200,84.0,4,50.0,35.35533905932738,0.42,8,WRAP FOLK ART,0.7071067811865476,Regular,Maintain standard replenishment review
16169M,660,277.2,11,60.0,32.4037034920393,0.42,25,WRAP DAISY CARPET,0.5400617248673216,Regular,Maintain standard replenishment review
16169N,25,10.5,1,25.0,0.0,0.42,1,WRAP BLUE RUSSIAN FOLKART,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16169P,50,21.0,1,50.0,0.0,0.42,2,WRAP GREEN RUSSIAN FOLKART,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16202A,7,3.5,2,3.5,0.7071067811865476,0.5,2,PASTEL PINK PHOTO ALBUM,0.20203050891044216,Long-Tail,Limit stock and avoid excessive local warehouse space
16202B,29,14.5,1,29.0,0.0,0.5,2,PASTEL BLUE PHOTO ALBUM,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16202E,15,7.5,1,15.0,0.0,0.5,3,BLACK PHOTO ALBUM,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
16206B,7,8.75,2,3.5,2.1213203435596424,1.25,2,RED PURSE WITH PINK HEART,0.6060915267313264,Long-Tail,Limit stock and avoid excessive local warehouse space
16207A,60,163.1,8,7.5,6.458659745975609,2.9054583333333333,34,PINK STRAWBERRY HANDBAG,0.8611546327967479,Long-Tail,Limit stock and avoid excessive local warehouse space
16207B,29,76.14,6,4.833333333333333,3.311595788538611,3.0966666666666662,18,PINK HEART RED HANDBAG,0.6851577493528161,Long-Tail,Limit stock and avoid excessive local warehouse space
16216,3333,234.0,11,303.0,493.77099955343675,0.1673939393939394,45,LETTER SHAPE PENCIL SHARPENER,1.6296072592522666,High-Turnover Volatile,Monitor closely and replenish in smaller batches
16218,3821,283.31,12,318.4166666666667,359.49041163931764,0.3543208874458874,64,CARTOON  PENCIL SHARPENERS,1.1289937031331618,High-Turnover Volatile,Monitor closely and replenish in smaller batches
16219,3048,407.71999999999997,12,254.0,258.6654561046337,0.6100110294117647,100,HOUSE SHAPE PENCIL SHARPENER,1.0183679374198176,High-Turnover Stable,Keep stable local warehouse inventory
16225,813,689.35,12,67.75,82.95576586898038,1.4588703449328448,102,RATTLE SNAKE EGGS,1.2244393486196365,Regular,Maintain standard replenishment review
16235,3068,695.4,13,236.0,189.27625313282172,0.3155829410973642,168,RECYCLED PENCIL WITH RABBIT ERASER,0.8020180217492446,High-Turnover Stable,Keep stable local warehouse inventory
16236,1438,320.09,13,110.61538461538461,78.61248677483162,0.3121262062310449,136,KITTY PENCIL ERASERS,0.7106831210520245,Regular,Maintain standard replenishment review
16237,4991,1047.93,13,383.9230769230769,209.31931808382362,0.29999156524289144,290,SLEEPING CAT ERASERS,0.5452116079121834,High-Turnover Stable,Keep stable local warehouse inventory
16238,1396,321.67,13,107.38461538461539,55.23968751652273,0.3069646325896326,134,PARTY TIME PENCIL ERASERS,0.5144096975034351,Regular,Maintain standard replenishment review
16244B,7,7.85,2,3.5,0.7071067811865476,1.225,2,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0.20203050891044216,Long-Tail,Limit stock and avoid excessive local warehouse space
16248B,13,16.25,5,2.6,2.5099800796022267,1.25,7,BLUE HOLE PUNCH,0.9653769536931641,Long-Tail,Limit stock and avoid excessive local warehouse space
16254,40,42.58,6,6.666666666666667,6.121002096606949,1.3699999999999999,17,TRANSPARENT ACRYLIC TAPE DISPENSER,0.9181503144910423,Long-Tail,Limit stock and avoid excessive local warehouse space
16258A,472,178.97,12,39.333333333333336,45.3036890597691,0.5778045634920635,59,SWIRLY CIRCULAR RUBBERS IN BAG,1.1517887049093838,Regular,Maintain standard replenishment review
16259,3380,326.56,9,375.55555555555554,423.95374485641446,0.12333333333333332,31,PIECE OF CAMO STATIONERY SET,1.128870918256725,High-Turnover Volatile,Monitor closely and replenish in smaller batches
17001,72,20.88,1,72.0,0.0,0.29,1,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
17003,23020,6025.95,13,1770.7692307692307,1059.741254099804,0.3498866515400928,239,BROCADE RING PURSE,0.5984637838096201,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
17007B,24,50.400000000000006,2,12.0,0.0,2.1,2,S/3 POT POURI CUSHIONS BLUE COLOURS,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
17011F,81,66.36,4,20.25,21.045585443666486,1.63875,7,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.0392881700576042,Long-Tail,Limit stock and avoid excessive local warehouse space
17012A,323,375.93,13,24.846153846153847,25.83875046593828,1.8568223443223444,65,ORIGAMI VANILLA INCENSE/CANDLE SET,1.0399497091554106,Regular,Maintain standard replenishment review
17012B,525,595.8499999999999,12,43.75,38.40484107741911,1.8660682189542481,85,ORIGAMI JASMINE INCENSE/CANDLE SET,0.8778249389124367,Regular,Maintain standard replenishment review
17012C,420,481.79999999999995,13,32.30769230769231,40.571715548693554,1.9261431623931624,85,ORIGAMI LAVENDER INCENSE/CANDL SET,1.2557911955548005,Regular,Maintain standard replenishment review
17012D,461,547.24,13,35.46153846153846,47.14095067740182,2.0670265845265843,97,ORIGAMI ROSE INCENSE/CANDLE SET,1.3293543574972313,Regular,Maintain standard replenishment review
17012E,44,62.64,1,44.0,0.0,2.3169999999999997,10,ORIGAMI OPIUM INCENSE/CANDLE SET,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
17012F,448,530.6,13,34.46153846153846,43.52894704411343,1.9523846153846154,94,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.2631167669050773,Regular,Maintain standard replenishment review
17013D,535,267.82,7,76.42857142857143,67.53729128626432,0.9602380952380952,13,ORIGAMI ROSE INCENSE IN TUBE,0.8836654934651407,Regular,Maintain standard replenishment review
17014A,155,71.19,6,25.833333333333332,35.391618593484345,0.8766666666666666,8,ORIGAMI VANILLA INCENSE CONES,1.36999813910262,Regular,Maintain standard replenishment review
17021,2391,632.34,13,183.92307692307693,211.6689480999601,0.2929230769230769,47,NAMASTE SWAGAT INCENSE,1.1508558449600506,High-Turnover Volatile,Monitor closely and replenish in smaller batches
17028J,6,2.52,1,6.0,0.0,0.42,1,INCENSE BAZAAR PEACH,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
17038,1525,158.06,13,117.3076923076923,88.00415199995265,0.3806666666666666,34,PORCELAIN BUDAH INCENSE HOLDER,0.7501993285241866,Regular,Maintain standard replenishment review
17084A,200,42.0,7,28.571428571428573,9.44911182523068,0.21,7,TRANQUILITY MASALA INCENSE,0.3307189138830738,Regular,Maintain standard replenishment review
17084J,225,47.25,7,32.142857142857146,12.198750911856665,0.21,8,LOVE POTION MASALA INCENSE,0.37951669503554064,Regular,Maintain standard replenishment review
17084N,1264,313.31,13,97.23076923076923,50.12177478593817,0.3543653846153846,101,FAIRY DREAMS INCENSE,0.5154929368806932,Regular,Maintain standard replenishment review
17084P,423,104.44,12,35.25,16.498622532034165,0.35447222222222213,39,DRAGONS BLOOD INCENSE,0.46804602927756495,Regular,Maintain standard replenishment review
17084R,4032,760.3199999999999,11,366.54545454545456,446.69550336585297,0.2037878787878788,27,ASSORTED INCENSE PACK,1.2186633276350154,High-Turnover Volatile,Monitor closely and replenish in smaller batches
17090A,109,107.44999999999999,8,13.625,16.273883547398444,1.1833333333333333,10,LAVENDER INCENSE 40 CONES IN TIN,1.1944134713686931,Regular,Maintain standard replenishment review
17090D,29,36.25,6,4.833333333333333,3.2506409624359724,1.25,12,VANILLA INCENSE 40 CONES IN TIN,0.6725464060212357,Long-Tail,Limit stock and avoid excessive local warehouse space
17091A,171,98.91,6,28.5,27.55902755904134,0.9392857142857144,25,LAVENDER INCENSE IN TIN,0.9669834231242576,Regular,Maintain standard replenishment review
17091J,2084,920.67,13,160.30769230769232,81.17305034655345,0.7073153000845309,95,VANILLA INCENSE IN TIN,0.5063577996666002,High-Turnover Stable,Keep stable local warehouse inventory
17096,2545,455.9800000000001,8,318.125,578.6606302488533,0.29974999999999996,24,ASSORTED LAQUERED INCENSE HOLDERS,1.818972511587751,High-Turnover Volatile,Monitor closely and replenish in smaller batches
17107D,170,433.5,12,14.166666666666666,8.9018214002767,2.55,46,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0.6283638635489436,Regular,Maintain standard replenishment review
17109D,61,32.349999999999994,3,20.333333333333332,29.19474838619668,1.2533333333333332,5,FLOWER FAIRY INCENSE BOUQUET,1.435807297681804,Long-Tail,Limit stock and avoid excessive local warehouse space
17129F,588,553.8299999999999,13,45.23076923076923,44.5835430141247,1.414642857142857,57,BLUE GLASS GEMS IN BAG,0.985690576842893,Regular,Maintain standard replenishment review
17136A,352,29.59,10,35.2,33.59828037927603,0.10600000000000001,17,BLUE STONES ON WIRE FOR CANDLE,0.954496601683978,Regular,Maintain standard replenishment review
17164B,27,11.34,2,13.5,4.949747468305833,0.42,9,ASS COL SMALL SAND GECKO P'WEIGHT,0.36664796061524685,Long-Tail,Limit stock and avoid excessive local warehouse space
17165D,27,28.349999999999998,2,13.5,6.363961030678928,1.05,7,ASS COL LARGE SAND FROG P'WEIGHT,0.4714045207910317,Long-Tail,Limit stock and avoid excessive local warehouse space
17174,9,3.7800000000000002,2,4.5,4.949747468305833,0.42,3,ASSTD RASTA KEY-CHAINS,1.0999438818457405,Long-Tail,Limit stock and avoid excessive local warehouse space
17191A,4,15.0,2,2.0,0.0,3.75,2,ROSE FLOWER CANDLE+INCENSE 16X16CM,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
18007,5884,395.61,8,735.5,1304.781426687463,0.27625,30,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,1.7740060186097388,High-Turnover Volatile,Monitor closely and replenish in smaller batches
18094C,192,283.93,11,17.454545454545453,15.108697073961318,1.9428831168831169,42,WHITE AND BLUE CERAMIC OIL BURNER,0.8656024365290339,Regular,Maintain standard replenishment review
18097A,5,12.75,3,1.6666666666666667,0.5773502691896257,2.55,4,PINK TALL PORCELAIN T-LIGHT HOLDER,0.3464101615137754,Long-Tail,Limit stock and avoid excessive local warehouse space
18097C,695,1591.01,13,53.46153846153846,77.78133386253991,3.166706043956044,69,WHITE TALL PORCELAIN T-LIGHT HOLDER,1.4549026477885163,Regular,Maintain standard replenishment review
18098C,213,658.75,8,26.625,44.67321824730594,3.141538461538462,49,PORCELAIN BUTTERFLY OIL BURNER,1.6778673520114906,Regular,Maintain standard replenishment review
18098c,52,263.12,1,52.0,0.0,5.06,12,PORCELAIN BUTTERFLY OIL BURNER,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
20615,309,466.99,13,23.76923076923077,23.19178678668322,2.6597885297206565,95,BLUE POLKADOT PASSPORT COVER,0.9757062402164461,Regular,Maintain standard replenishment review
20616,194,243.53,13,14.923076923076923,15.129780448184183,1.6937411477411477,71,CHERRY BLOSSOM PASSPORT COVER,1.0138512671463629,Regular,Maintain standard replenishment review
20617,93,194.94,12,7.75,4.433857339731502,2.433763888888889,43,FIRST CLASS PASSPORT COVER,0.5721106244814842,Regular,Maintain standard replenishment review
20618,148,286.39,13,11.384615384615385,9.215371773459655,2.083086691086691,76,QUEEN OF THE SKIES PASSPORT COVER,0.8094583314525372,Regular,Maintain standard replenishment review
20619,262,439.65000000000003,13,20.153846153846153,15.480343201654986,2.4736530904992446,99,TROPICAL PASSPORT COVER,0.7681086321431864,Regular,Maintain standard replenishment review
20622,185,303.7,13,14.23076923076923,16.70904867705842,2.4245811965811965,51,VIPPASSPORT COVER,1.174149366495997,Regular,Maintain standard replenishment review
20652,265,346.86,13,20.384615384615383,22.104066222976794,1.7658104395604395,78,BLUE POLKADOT LUGGAGE TAG,1.084350418485654,Regular,Maintain standard replenishment review
20653,73,95.18,11,6.636363636363637,6.576818794413105,1.9487465564738293,33,CHERRY BLOSSOM LUGGAGE TAG,0.991027489569098,Long-Tail,Limit stock and avoid excessive local warehouse space
20654,152,193.59,13,11.692307692307692,7.846279536449269,1.4757248520710058,49,FIRST CLASS LUGGAGE TAG,0.6710633814068454,Regular,Maintain standard replenishment review
20655,197,292.29,13,15.153846153846153,11.074340867113747,1.799556543697848,99,QUEEN OF SKIES LUGGAGE TAG,0.7307940673729885,Regular,Maintain standard replenishment review
20657,73,105.91,12,6.083333333333333,5.680242205676754,1.7320833333333334,33,TROPICAL LUGGAGE TAG,0.9337384447687814,Long-Tail,Limit stock and avoid excessive local warehouse space
20658,433,652.11,10,43.3,24.6533747971528,1.66531746031746,105,RED RETROSPOT LUGGAGE TAG,0.5693620045531825,Regular,Maintain standard replenishment review
20659,158,246.84,12,13.166666666666666,5.951826814033018,1.7171616161616161,62,ECONOMY LUGGAGE TAG,0.45203747954681156,Regular,Maintain standard replenishment review
20661,44,141.15,8,5.5,4.869731585445518,4.00875,33,BLUE POLKADOT PURSE,0.8854057428082759,Long-Tail,Limit stock and avoid excessive local warehouse space
20662,31,90.42,7,4.428571428571429,3.4572215654165053,2.9860714285714285,20,FIRST CLASS HOLIDAY PURSE,0.7806629341263076,Long-Tail,Limit stock and avoid excessive local warehouse space
20663,25,66.26,9,2.7777777777777777,3.032234233110042,2.8621296296296297,20,QUEEN OF THE SKIES HOLIDAY PURSE,1.0916043239196151,Long-Tail,Limit stock and avoid excessive local warehouse space
20664,32,81.66,4,8.0,5.41602560309064,2.5825,18,TROPICAL HOLIDAY PURSE,0.67700320038633,Long-Tail,Limit stock and avoid excessive local warehouse space
20665,461,1546.27,13,35.46153846153846,17.896067466603682,4.232428046312662,156,RED RETROSPOT PURSE,0.504661338537631,Regular,Maintain standard replenishment review
20666,30,41.53,5,6.0,8.54400374531753,2.428,17,ECONOMY HOLIDAY PURSE,1.4240006242195884,Long-Tail,Limit stock and avoid excessive local warehouse space
20667,20,49.69,4,5.0,3.265986323710904,2.5825,16,CHERRY BLOSSOM PURSE,0.6531972647421809,Long-Tail,Limit stock and avoid excessive local warehouse space
20668,12883,1501.3999999999999,13,991.0,1263.449840713908,0.19329193043442078,215,DISCO BALL CHRISTMAS DECORATION,1.2749241581371424,High-Turnover Volatile,Monitor closely and replenish in smaller batches
20669,304,447.34000000000003,11,27.636363636363637,14.786972153032055,1.7560086580086578,96,RED HEART LUGGAGE TAG,0.5350549134320809,Regular,Maintain standard replenishment review
20670,14,44.04,8,1.75,0.8864052604279182,3.5375,11,VIP HOLIDAY PURSE,0.5065172916730961,Long-Tail,Limit stock and avoid excessive local warehouse space
20671,10,12.5,1,10.0,0.0,1.25,2,BLUE TEATIME PRINT BOWL,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
20674,1563,2016.23,13,120.23076923076923,53.45582887792163,1.5716285202651599,205,GREEN POLKADOT BOWL,0.44461022099359004,Regular,Maintain standard replenishment review
20675,3120,3983.12,13,240.0,122.36284839225779,1.6026386380429913,322,BLUE POLKADOT BOWL,0.5098452016344075,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20676,5023,6374.81,13,386.38461538461536,192.27044254622984,1.6402232585277576,448,RED RETROSPOT BOWL,0.49761412564224333,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20677,3674,4747.34,13,282.61538461538464,102.54311163403295,1.6608296783318157,333,PINK POLKADOT BOWL,0.36283626871051394,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20678,4,6.6,1,4.0,0.0,1.65,1,LARGE BLACK DIAMANTE HAIRSLIDE,0.0,Long-Tail,Limit stock and avoid excessive local warehouse space
20679,1710,10021.42,13,131.53846153846155,68.32351399117704,7.070379620770397,326,EDWARDIAN PARASOL RED,0.519418527418305,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20681,140,506.96,4,35.0,20.37972849017703,4.246931372549019,46,PINK POLKADOT CHILDRENS UMBRELLA,0.5822779568622009,Regular,Maintain standard replenishment review
20682,1235,4171.33,13,95.0,44.98703516940557,3.986564619660845,237,RED RETROSPOT CHILDRENS UMBRELLA,0.47354773862532185,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20684,80,270.56,8,10.0,7.270291799999699,3.5140000000000002,35,STRAWBERRY DREAM CHILDS UMBRELLA,0.7270291799999699,Long-Tail,Limit stock and avoid excessive local warehouse space
20685,4088,28049.54,13,314.46153846153845,197.32233164064974,8.953945808607934,696,DOORMAT RED RETROSPOT,0.627492737604806,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
20686,267,922.67,13,20.53846153846154,17.970417286081517,3.7450512820512816,77,DOLLY MIXTURE CHILDREN'S UMBRELLA,0.8749641375245681,Regular,Maintain standard replenishment review
20694,43,187.54,9,4.777777777777778,4.521553322083512,5.313611111111111,16,FLORAL PINK MONSTER,0.946371625552363,Long-Tail,Limit stock and avoid excessive local warehouse space
20695,5,21.25,4,1.25,0.5,4.25,4,FLORAL BLUE MONSTER,0.4,Long-Tail,Limit stock and avoid excessive local warehouse space
20696,54,230.81,9,6.0,5.361902647381804,5.043388888888889,30,FLORAL SOFT CAR TOY,0.8936504412303007,Long-Tail,Limit stock and avoid excessive local warehouse space
20697,19,48.45,6,3.1666666666666665,1.4719601443879746,2.55,11,LITTLE GREEN MONSTER SOFT TOY,0.46482951928041305,Long-Tail,Limit stock and avoid excessive local warehouse space
20698,17,43.35,4,4.25,1.5000000000000002,2.55,8,LITTLE PINK MONSTER SOFT TOY,0.3529411764705883,Long-Tail,Limit stock and avoid excessive local warehouse space
20699,97,266.03,8,12.125,19.874157664090895,2.792602272727273,41,MOUSEY LONG LEGS SOFT TOY,1.6391057867291459,Regular,Maintain standard replenishment review
20700,73,345.17,10,7.3,6.395310782127793,6.86065,54,GREEN CAT FLORAL CUSHION COVER,0.8760699701544922,Long-Tail,Limit stock and avoid excessive local warehouse space
20701,25,100.97,3,8.333333333333334,6.6583281184793925,3.9751851851851847,18,PINK CAT FLORAL CUSHION COVER,0.7989993742175271,Long-Tail,Limit stock and avoid excessive local warehouse space
20702,134,573.54,10,13.4,6.931409989637349,4.351,42,PINK PADDED MOBILE,0.5172694022117424,Regular,Maintain standard replenishment review
