stock_code,description,sku_class,avg_monthly_units,current_inventory,lead_time_days,safety_stock,reorder_point,recommended_replenishment_qty,inventory_risk,warehouse_strategy
22197,SMALL POPCORN HOLDER,High-Revenue Priority,4376.7692307692305,218,7,432.0,1453.0,1235.0,Stockout Risk,Local Warehouse Priority
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,High-Revenue Priority,1307.5,239,21,551.0,1466.0,1227.0,Stockout Risk,Local Warehouse Priority
23497,CLASSIC CHROME BICYCLE BELL,High-Revenue Priority,852.6666666666666,79,30,363.0,1216.0,1137.0,Stockout Risk,Local Warehouse Priority
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,High-Revenue Priority,814.9230769230769,170,30,484.0,1299.0,1129.0,Stockout Risk,Local Warehouse Priority
22616,PACK OF 12 LONDON TISSUES,High-Revenue Priority,2009.1538461538464,164,14,343.0,1281.0,1117.0,Stockout Risk,Local Warehouse Priority
22178,VICTORIAN GLASS HANGING T-LIGHT,High-Revenue Priority,1867.3076923076924,76,14,297.0,1168.0,1092.0,Stockout Risk,Local Warehouse Priority
15036,ASSORTED COLOURS SILK FAN,High-Revenue Priority,1832.7692307692307,150,14,384.0,1239.0,1089.0,Stockout Risk,Local Warehouse Priority
23300,GARDENERS KNEELING PAD CUP OF TEA,High-Revenue Priority,851.125,70,30,303.0,1154.0,1084.0,Stockout Risk,Local Warehouse Priority
20724,RED RETROSPOT CHARLOTTE BAG,High-Revenue Priority,1366.2307692307693,203,21,321.0,1277.0,1074.0,Stockout Risk,Local Warehouse Priority
16014,SMALL CHINESE STYLE SCISSOR,High-Revenue Priority,1025.2307692307693,40,21,387.0,1105.0,1065.0,Stockout Risk,Local Warehouse Priority
22147,FELTCRAFT BUTTERFLY HEARTS,High-Revenue Priority,478.9230769230769,55,45,397.0,1115.0,1060.0,Stockout Risk,Local Warehouse Priority
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,High-Revenue Priority,787.7692307692307,237,30,507.0,1295.0,1058.0,Stockout Risk,Local Warehouse Priority
23167,SMALL CERAMIC TOP STORAGE JAR,High-Revenue Priority,730.875,63,30,371.0,1102.0,1039.0,Stockout Risk,Local Warehouse Priority
22961,JAM MAKING SET PRINTED,High-Revenue Priority,1261.2307692307693,147,21,298.0,1181.0,1034.0,Stockout Risk,Local Warehouse Priority
21915,RED  HARMONICA IN BOX,High-Revenue Priority,1684.8461538461538,82,14,319.0,1105.0,1023.0,Stockout Risk,Local Warehouse Priority
22993,SET OF 4 PANTRY JELLY MOULDS,High-Revenue Priority,1149.909090909091,59,21,266.0,1071.0,1012.0,Stockout Risk,Local Warehouse Priority
21166,COOK WITH WINE METAL SIGN,High-Revenue Priority,794.1538461538462,109,30,325.0,1119.0,1010.0,Stockout Risk,Local Warehouse Priority
21977,PACK OF 60 PINK PAISLEY CAKE CASES,High-Revenue Priority,1909.2307692307693,230,14,335.0,1226.0,996.0,Stockout Risk,Local Warehouse Priority
84212,"ASSORTED FLOWER COLOUR ""LEIS""",High-Revenue Priority,793.4615384615385,175,30,330.0,1123.0,948.0,Stockout Risk,Local Warehouse Priority
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,High-Revenue Priority,496.57142857142856,150,45,329.0,1074.0,924.0,Stockout Risk,Local Warehouse Priority
23171,REGENCY TEA PLATE GREEN,High-Revenue Priority,780.875,203,30,346.0,1127.0,924.0,Stockout Risk,Local Warehouse Priority
22699,ROSES REGENCY TEACUP AND SAUCER,High-Revenue Priority,758.7692307692307,109,30,267.0,1026.0,917.0,Stockout Risk,Local Warehouse Priority
22969,HOMEMADE JAM SCENTED CANDLES,High-Revenue Priority,963.0769230769232,62,21,257.0,931.0,869.0,Stockout Risk,Local Warehouse Priority
22952,60 CAKE CASES VINTAGE CHRISTMAS,High-Revenue Priority,1235.076923076923,44,14,334.0,910.0,866.0,Stockout Risk,Local Warehouse Priority
23582,VINTAGE DOILY JUMBO BAG RED,High-Revenue Priority,1600.6666666666667,183,14,288.0,1035.0,852.0,Stockout Risk,Local Warehouse Priority
23351,ROLL WRAP 50'S CHRISTMAS,High-Revenue Priority,707.0,167,30,308.0,1015.0,848.0,Stockout Risk,Local Warehouse Priority
84992,72 SWEETHEART FAIRY CAKE CASES,High-Revenue Priority,1024.5384615384614,137,21,263.0,980.0,843.0,Stockout Risk,Local Warehouse Priority
23552,BICYCLE PUNCTURE REPAIR KIT,High-Revenue Priority,931.5,57,21,239.0,891.0,834.0,Stockout Risk,Local Warehouse Priority
23344,JUMBO BAG 50'S CHRISTMAS,High-Revenue Priority,1469.2857142857142,197,14,334.0,1020.0,823.0,Stockout Risk,Local Warehouse Priority
23301,GARDENERS KNEELING PAD KEEP CALM,High-Revenue Priority,1100.875,264,21,314.0,1085.0,821.0,Stockout Risk,Local Warehouse Priority
21928,JUMBO BAG SCANDINAVIAN PAISLEY,High-Revenue Priority,805.2307692307693,270,30,283.0,1088.0,818.0,Stockout Risk,Local Warehouse Priority
23310,BUBBLEGUM RING ASSORTED,High-Revenue Priority,1721.428571428571,279,14,288.0,1091.0,812.0,Stockout Risk,Local Warehouse Priority
23206,LUNCH BAG APPLE DESIGN,High-Revenue Priority,1349.6666666666667,39,14,219.0,849.0,810.0,Stockout Risk,Local Warehouse Priority
21931,JUMBO STORAGE BAG SUKI,High-Revenue Priority,1050.076923076923,171,21,244.0,979.0,808.0,Stockout Risk,Local Warehouse Priority
23204,CHARLOTTE BAG APPLES DESIGN,High-Revenue Priority,886.2222222222222,33,21,217.0,837.0,804.0,Stockout Risk,Local Warehouse Priority
84991,60 TEATIME FAIRY CAKE CASES,High-Revenue Priority,1399.1538461538462,88,14,237.0,890.0,802.0,Stockout Risk,Local Warehouse Priority
20725,LUNCH BAG RED RETROSPOT,High-Revenue Priority,1494.7692307692307,142,14,238.0,936.0,794.0,Stockout Risk,Local Warehouse Priority
21787,RAIN PONCHO RETROSPOT,High-Revenue Priority,682.6923076923077,248,30,352.0,1035.0,787.0,Stockout Risk,Local Warehouse Priority
20723,STRAWBERRY CHARLOTTE BAG,High-Revenue Priority,753.3076923076923,222,30,254.0,1007.0,785.0,Stockout Risk,Local Warehouse Priority
21232,STRAWBERRY CERAMIC TRINKET BOX,High-Revenue Priority,910.9230769230768,72,21,219.0,857.0,785.0,Stockout Risk,Local Warehouse Priority
22950,36 DOILIES VINTAGE CHRISTMAS,High-Revenue Priority,868.1666666666666,129,21,303.0,911.0,782.0,Stockout Risk,Local Warehouse Priority
22866,HAND WARMER SCOTTY DOG DESIGN,High-Revenue Priority,661.1,249,30,367.0,1028.0,779.0,Stockout Risk,Local Warehouse Priority
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,High-Revenue Priority,1249.5384615384614,95,14,272.0,855.0,760.0,Stockout Risk,Local Warehouse Priority
23240,SET OF 4 KNICK KNACK TINS DOILEY,High-Revenue Priority,596.7142857142857,43,30,202.0,799.0,756.0,Stockout Risk,Local Warehouse Priority
23207,LUNCH BAG ALPHABET DESIGN,High-Revenue Priority,870.0,94,21,236.0,845.0,751.0,Stockout Risk,Local Warehouse Priority
20728,LUNCH BAG CARS BLUE,High-Revenue Priority,906.6153846153846,117,21,232.0,867.0,750.0,Stockout Risk,Local Warehouse Priority
23308,SET OF 60 VINTAGE LEAF CAKE CASES,High-Revenue Priority,877.0,89,21,220.0,834.0,745.0,Stockout Risk,Local Warehouse Priority
21175,GIN + TONIC DIET METAL SIGN,High-Revenue Priority,939.0,215,21,297.0,954.0,739.0,Stockout Risk,Local Warehouse Priority
23296,SET OF 6 TEA TIME BAKING CASES,High-Revenue Priority,829.8333333333334,132,21,243.0,824.0,692.0,Stockout Risk,Local Warehouse Priority
85099F,JUMBO BAG STRAWBERRY,High-Revenue Priority,1325.923076923077,180,14,245.0,864.0,684.0,Stockout Risk,Local Warehouse Priority
21212,PACK OF 72 RETROSPOT CAKE CASES,High-Revenue Priority,2799.6923076923076,206,7,221.0,874.0,668.0,Stockout Risk,Local Warehouse Priority
23076,ICE CREAM SUNDAE LIP GLOSS,High-Revenue Priority,807.6,106,21,208.0,773.0,667.0,Stockout Risk,Local Warehouse Priority
22355,CHARLOTTE BAG SUKI DESIGN,High-Revenue Priority,1394.1538461538462,189,14,202.0,853.0,664.0,Stockout Risk,Local Warehouse Priority
22382,LUNCH BAG SPACEBOY DESIGN,High-Revenue Priority,802.0769230769231,132,21,206.0,767.0,635.0,Stockout Risk,Local Warehouse Priority
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,High-Revenue Priority,816.0,23,14,273.0,654.0,631.0,Stockout Risk,Local Warehouse Priority
23309,SET OF 60 I LOVE LONDON CAKE CASES,High-Revenue Priority,1182.142857142857,109,14,183.0,735.0,626.0,Stockout Risk,Local Warehouse Priority
35970,ZINC FOLKART SLEIGH BELLS,High-Revenue Priority,388.46153846153845,21,30,249.0,637.0,616.0,Stockout Risk,Local Warehouse Priority
23247,BISCUIT TIN 50'S CHRISTMAS,High-Revenue Priority,313.42857142857144,79,45,217.0,687.0,608.0,Stockout Risk,Local Warehouse Priority
22090,PAPER BUNTING RETROSPOT,High-Revenue Priority,581.6923076923077,220,30,244.0,826.0,606.0,Stockout Risk,Local Warehouse Priority
21122,SET/10 PINK POLKADOT PARTY CANDLES,High-Revenue Priority,409.61538461538464,242,45,225.0,839.0,597.0,Stockout Risk,Local Warehouse Priority
22630,DOLLY GIRL LUNCH BOX,High-Revenue Priority,906.1538461538462,276,21,235.0,869.0,593.0,Stockout Risk,Local Warehouse Priority
21889,WOODEN BOX OF DOMINOES,High-Revenue Priority,491.53846153846155,123,30,222.0,714.0,591.0,Stockout Risk,Local Warehouse Priority
23203,JUMBO BAG DOILEY PATTERNS,High-Revenue Priority,2560.625,228,7,214.0,811.0,583.0,Stockout Risk,Local Warehouse Priority
21791,VINTAGE HEADS AND TAILS CARD GAME,High-Revenue Priority,604.9230769230769,24,21,177.0,600.0,576.0,Stockout Risk,Local Warehouse Priority
22149,FELTCRAFT 6 FLOWER FRIENDS,High-Revenue Priority,505.8333333333333,167,30,235.0,741.0,574.0,Stockout Risk,Local Warehouse Priority
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,High-Revenue Priority,1261.6153846153843,256,14,241.0,830.0,574.0,Stockout Risk,Local Warehouse Priority
20975,12 PENCILS SMALL TUBE RED RETROSPOT,High-Revenue Priority,603.0,45,21,185.0,607.0,562.0,Stockout Risk,Local Warehouse Priority
22326,ROUND SNACK BOXES SET OF4 WOODLAND,High-Revenue Priority,656.5384615384615,57,21,159.0,619.0,562.0,Stockout Risk,Local Warehouse Priority
22992,REVOLVER WOODEN RULER,High-Revenue Priority,475.72727272727275,122,30,206.0,682.0,560.0,Stockout Risk,Local Warehouse Priority
23319,BOX OF 6 MINI 50'S CRACKERS,High-Revenue Priority,620.0,76,21,201.0,635.0,559.0,Stockout Risk,Local Warehouse Priority
22457,NATURAL SLATE HEART CHALKBOARD,High-Revenue Priority,701.4615384615385,79,21,146.0,637.0,558.0,Stockout Risk,Local Warehouse Priority
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,High-Revenue Priority,320.0,127,45,190.0,670.0,543.0,Stockout Risk,Local Warehouse Priority
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,High-Revenue Priority,568.2,239,30,197.0,765.0,526.0,Stockout Risk,Local Warehouse Priority
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,High-Revenue Priority,466.46153846153845,114,30,168.0,634.0,520.0,Stockout Risk,Local Warehouse Priority
71459,HANGING JAM JAR T-LIGHT HOLDER,High-Revenue Priority,1046.5384615384614,160,14,185.0,673.0,513.0,Stockout Risk,Local Warehouse Priority
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,High-Revenue Priority,727.7692307692307,35,14,208.0,548.0,513.0,Stockout Risk,Local Warehouse Priority
82583,HOT BATHS METAL SIGN,High-Revenue Priority,558.3076923076923,283,30,235.0,793.0,510.0,Stockout Risk,Local Warehouse Priority
23583,LUNCH BAG PAISLEY PARK,High-Revenue Priority,1128.3333333333333,284,14,253.0,780.0,496.0,Stockout Risk,Local Warehouse Priority
22077,6 RIBBONS RUSTIC CHARM,High-Revenue Priority,705.5384615384615,177,21,176.0,670.0,493.0,Stockout Risk,Local Warehouse Priority
22555,PLASTERS IN TIN STRONGMAN,High-Revenue Priority,462.3076923076923,141,30,167.0,629.0,488.0,Stockout Risk,Local Warehouse Priority
79321,CHILLI LIGHTS,High-Revenue Priority,792.4615384615385,42,14,159.0,529.0,487.0,Stockout Risk,Local Warehouse Priority
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,High-Revenue Priority,392.53846153846155,66,30,158.0,551.0,485.0,Stockout Risk,Local Warehouse Priority
21930,JUMBO STORAGE BAG SKULLS,High-Revenue Priority,495.2307692307692,201,30,188.0,683.0,482.0,Stockout Risk,Local Warehouse Priority
21086,SET/6 RED SPOTTY PAPER CUPS,High-Revenue Priority,547.7692307692307,266,30,199.0,747.0,481.0,Stockout Risk,Local Warehouse Priority
20713,JUMBO BAG OWLS,High-Revenue Priority,1039.0,191,14,178.0,663.0,472.0,Stockout Risk,Local Warehouse Priority
22662,LUNCH BAG DOLLY GIRL DESIGN,High-Revenue Priority,515.8461538461538,31,21,137.0,498.0,467.0,Stockout Risk,Local Warehouse Priority
23188,VINTAGE  2 METER FOLDING RULER,High-Revenue Priority,495.8571428571428,22,21,140.0,487.0,465.0,Stockout Risk,Local Warehouse Priority
23493,VINTAGE DOILY TRAVEL SEWING KIT,High-Revenue Priority,991.0,208,14,209.0,671.0,463.0,Stockout Risk,Local Warehouse Priority
22835,HOT WATER BOTTLE I AM SO POORLY,High-Revenue Priority,264.6923076923077,144,45,209.0,606.0,462.0,Stockout Risk,Local Warehouse Priority
23571,TRADITIONAL NAUGHTS & CROSSES,High-Revenue Priority,947.0,225,14,242.0,684.0,459.0,Stockout Risk,Local Warehouse Priority
23200,JUMBO BAG PEARS,High-Revenue Priority,883.375,109,14,151.0,563.0,454.0,Stockout Risk,Local Warehouse Priority
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,High-Revenue Priority,489.3076923076923,210,30,171.0,660.0,450.0,Stockout Risk,Local Warehouse Priority
22470,HEART OF WICKER LARGE,High-Revenue Priority,760.5384615384615,65,14,158.0,513.0,448.0,Stockout Risk,Local Warehouse Priority
22112,CHOCOLATE HOT WATER BOTTLE,High-Revenue Priority,462.84615384615387,46,21,169.0,493.0,447.0,Stockout Risk,Local Warehouse Priority
20971,PINK BLUE FELT CRAFT TRINKET BOX,High-Revenue Priority,845.6153846153846,195,14,246.0,641.0,446.0,Stockout Risk,Local Warehouse Priority
21094,SET/6 RED SPOTTY PAPER PLATES,High-Revenue Priority,673.6923076923077,204,21,175.0,647.0,443.0,Stockout Risk,Local Warehouse Priority
21137,BLACK RECORD COVER FRAME,High-Revenue Priority,896.2307692307693,171,14,184.0,602.0,431.0,Stockout Risk,Local Warehouse Priority
21080,SET/20 RED RETROSPOT PAPER NAPKINS,High-Revenue Priority,1015.5384615384615,211,14,164.0,638.0,427.0,Stockout Risk,Local Warehouse Priority
22728,ALARM CLOCK BAKELIKE PINK,High-Revenue Priority,412.0,162,30,177.0,589.0,427.0,Stockout Risk,Local Warehouse Priority
21914,BLUE HARMONICA IN BOX,High-Revenue Priority,605.8461538461538,173,21,173.0,597.0,424.0,Stockout Risk,Local Warehouse Priority
22585,PACK OF 6 BIRDY GIFT TAGS,High-Revenue Priority,478.53846153846155,269,30,212.0,691.0,422.0,Stockout Risk,Local Warehouse Priority
20712,JUMBO BAG WOODLAND ANIMALS,High-Revenue Priority,751.7692307692307,72,14,132.0,483.0,411.0,Stockout Risk,Local Warehouse Priority
22629,SPACEBOY LUNCH BOX,High-Revenue Priority,1096.076923076923,285,14,181.0,693.0,408.0,Stockout Risk,Local Warehouse Priority
23215,JINGLE BELL HEART ANTIQUE SILVER,High-Revenue Priority,509.1428571428572,130,21,182.0,538.0,408.0,Stockout Risk,Local Warehouse Priority
23286,BLUE VINTAGE SPOT BEAKER,High-Revenue Priority,721.1428571428571,97,14,167.0,504.0,407.0,Stockout Risk,Local Warehouse Priority
22834,HAND WARMER BABUSHKA DESIGN,High-Revenue Priority,380.0769230769231,61,21,200.0,466.0,405.0,Stockout Risk,Local Warehouse Priority
23284,DOORMAT KEEP CALM AND COME IN,High-Revenue Priority,609.6666666666666,217,21,192.0,619.0,402.0,Stockout Risk,Local Warehouse Priority
22659,LUNCH BOX I LOVE LONDON,High-Revenue Priority,884.9230769230769,180,14,163.0,576.0,396.0,Stockout Risk,Local Warehouse Priority
22791,T-LIGHT GLASS FLUTED ANTIQUE,High-Revenue Priority,662.9166666666666,28,14,108.0,417.0,389.0,Stockout Risk,Local Warehouse Priority
23208,LUNCH BAG VINTAGE LEAF DESIGN,High-Revenue Priority,700.8888888888889,262,21,158.0,649.0,387.0,Stockout Risk,Local Warehouse Priority
22960,JAM MAKING SET WITH JARS,High-Revenue Priority,668.8461538461538,31,14,105.0,417.0,386.0,Stockout Risk,Local Warehouse Priority
23343,JUMBO BAG VINTAGE CHRISTMAS,High-Revenue Priority,868.2857142857143,215,14,189.0,594.0,379.0,Stockout Risk,Local Warehouse Priority
23288,GREEN VINTAGE SPOT BEAKER,High-Revenue Priority,660.7142857142857,94,14,163.0,471.0,377.0,Stockout Risk,Local Warehouse Priority
22333,RETROSPOT PARTY BAG + STICKER SET,High-Revenue Priority,345.53846153846155,100,30,130.0,476.0,376.0,Stockout Risk,Local Warehouse Priority
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,High-Revenue Priority,685.7142857142857,101,14,156.0,476.0,375.0,Stockout Risk,Local Warehouse Priority
20719,WOODLAND CHARLOTTE BAG,High-Revenue Priority,1022.3076923076924,266,14,157.0,634.0,368.0,Stockout Risk,Local Warehouse Priority
84836,ZINC METAL HEART DECORATION,High-Revenue Priority,456.6923076923077,73,21,118.0,438.0,365.0,Stockout Risk,Local Warehouse Priority
22029,SPACEBOY BIRTHDAY CARD,High-Revenue Priority,627.7692307692307,27,14,93.0,386.0,359.0,Stockout Risk,Local Warehouse Priority
23170,REGENCY TEA PLATE ROSES,High-Revenue Priority,857.125,208,14,164.0,564.0,356.0,Stockout Risk,Local Warehouse Priority
84029E,RED WOOLLY HOTTIE WHITE HEART.,High-Revenue Priority,364.15384615384613,72,21,165.0,420.0,348.0,Stockout Risk,Local Warehouse Priority
21733,RED HANGING HEART T-LIGHT HOLDER,High-Revenue Priority,605.5384615384615,66,14,127.0,410.0,344.0,Stockout Risk,Local Warehouse Priority
21929,JUMBO BAG PINK VINTAGE PAISLEY,High-Revenue Priority,846.6153846153846,198,14,147.0,542.0,344.0,Stockout Risk,Local Warehouse Priority
23230,WRAP ALPHABET DESIGN,High-Revenue Priority,664.6666666666666,90,14,116.0,426.0,336.0,Stockout Risk,Local Warehouse Priority
23297,SET 40 HEART SHAPE PETIT FOUR CASES,High-Revenue Priority,860.6,273,14,205.0,607.0,334.0,Stockout Risk,Local Warehouse Priority
22966,GINGERBREAD MAN COOKIE CUTTER,High-Revenue Priority,572.3076923076923,39,14,102.0,369.0,330.0,Stockout Risk,Local Warehouse Priority
23275,SET OF 3 HANGING OWLS OLLIE BEAK,High-Revenue Priority,531.4285714285714,217,21,175.0,547.0,330.0,Stockout Risk,Local Warehouse Priority
22189,CREAM HEART CARD HOLDER,High-Revenue Priority,637.2307692307693,108,14,139.0,436.0,328.0,Stockout Risk,Local Warehouse Priority
23354,6 GIFT TAGS 50'S CHRISTMAS,High-Revenue Priority,748.0,173,14,152.0,501.0,328.0,Stockout Risk,Local Warehouse Priority
21670,BLUE SPOT CERAMIC DRAWER KNOB,High-Revenue Priority,332.9230769230769,130,30,118.0,451.0,321.0,Stockout Risk,Local Warehouse Priority
22554,PLASTERS IN TIN WOODLAND ANIMALS,High-Revenue Priority,600.2307692307693,262,21,162.0,582.0,320.0,Stockout Risk,Local Warehouse Priority
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,High-Revenue Priority,399.53846153846155,225,30,145.0,545.0,320.0,Stockout Risk,Local Warehouse Priority
21240,BLUE POLKADOT CUP,High-Revenue Priority,274.61538461538464,76,30,119.0,394.0,318.0,Stockout Risk,Local Warehouse Priority
22348,TEA BAG PLATE RED RETROSPOT,High-Revenue Priority,314.15384615384613,111,30,114.0,428.0,317.0,Stockout Risk,Local Warehouse Priority
21497,FANCY FONTS BIRTHDAY WRAP,High-Revenue Priority,657.6923076923077,125,14,130.0,437.0,312.0,Stockout Risk,Local Warehouse Priority
22561,WOODEN SCHOOL COLOURING SET,High-Revenue Priority,452.53846153846155,138,21,133.0,450.0,312.0,Stockout Risk,Local Warehouse Priority
23353,6 GIFT TAGS VINTAGE CHRISTMAS,High-Revenue Priority,801.4,218,14,152.0,526.0,308.0,Stockout Risk,Local Warehouse Priority
22379,RECYCLING BAG RETROSPOT,High-Revenue Priority,530.4615384615385,32,14,90.0,338.0,306.0,Stockout Risk,Local Warehouse Priority
20972,PINK CREAM FELT CRAFT TRINKET BOX,High-Revenue Priority,564.3846153846154,58,14,98.0,361.0,303.0,Stockout Risk,Local Warehouse Priority
23144,ZINC T-LIGHT HOLDER STARS SMALL,High-Revenue Priority,565.4444444444445,252,21,158.0,554.0,302.0,Stockout Risk,Local Warehouse Priority
23356,LOVE HOT WATER BOTTLE,High-Revenue Priority,471.8,184,21,155.0,485.0,301.0,Stockout Risk,Local Warehouse Priority
85150,LADIES & GENTLEMEN METAL SIGN,High-Revenue Priority,367.0,57,21,101.0,358.0,301.0,Stockout Risk,Local Warehouse Priority
23172,REGENCY TEA PLATE PINK,High-Revenue Priority,482.625,22,14,97.0,322.0,300.0,Stockout Risk,Local Warehouse Priority
82494L,WOODEN FRAME ANTIQUE WHITE,High-Revenue Priority,518.0769230769231,35,14,93.0,335.0,300.0,Stockout Risk,Local Warehouse Priority
17003,BROCADE RING PURSE,High-Revenue Priority,1770.7692307692307,280,7,165.0,578.0,298.0,Stockout Risk,Local Warehouse Priority
20727,LUNCH BAG  BLACK SKULL.,High-Revenue Priority,938.0769230769232,299,14,156.0,594.0,295.0,Stockout Risk,Local Warehouse Priority
22418,10 COLOUR SPACEBOY PEN,High-Revenue Priority,504.9230769230769,26,14,85.0,321.0,295.0,Stockout Risk,Local Warehouse Priority
47599A,PINK PARTY BAGS,High-Revenue Priority,188.92307692307693,101,45,113.0,396.0,295.0,Stockout Risk,Local Warehouse Priority
21154,RED RETROSPOT OVEN GLOVE,High-Revenue Priority,310.3076923076923,120,30,103.0,413.0,293.0,Stockout Risk,Local Warehouse Priority
21494,ROTATING LEAVES T-LIGHT HOLDER,High-Revenue Priority,148.30769230769232,49,45,114.0,336.0,287.0,Stockout Risk,Local Warehouse Priority
23162,REGENCY TEA STRAINER,High-Revenue Priority,156.88888888888889,48,45,100.0,335.0,287.0,Stockout Risk,Local Warehouse Priority
