stock_code,description,sku_class,avg_monthly_units,current_inventory,inventory_coverage_days,inventory_risk,warehouse_strategy
90100,NECKLACE+BRACELET SET PINK DAISY,Long-Tail,1.0,98,2940.0,Overstock Risk,Overstock Review / Reduce Replenishment
DCGS0070,CAMOUFLAGE DOG COLLAR,Long-Tail,1.0,98,2940.0,Overstock Risk,Overstock Review / Reduce Replenishment
84510e,SET OF 4 GREEN CAROUSEL COASTERS,Long-Tail,1.0,97,2910.0,Overstock Risk,Overstock Review / Reduce Replenishment
S,SAMPLES,Long-Tail,1.0,97,2910.0,Overstock Risk,Overstock Review / Reduce Replenishment
15060b,FAIRY CAKE DESIGN UMBRELLA,Long-Tail,1.0,96,2880.0,Overstock Risk,Overstock Review / Reduce Replenishment
90001C,ANTIQUE OPAL WHITE FLOWER EARRINGS,Long-Tail,1.25,119,2856.0,Overstock Risk,Overstock Review / Reduce Replenishment
35597B,BLACKCHRISTMAS TREE 30CM,Long-Tail,1.0,95,2850.0,Overstock Risk,Overstock Review / Reduce Replenishment
90084,PINK CRYSTAL GUITAR PHONE CHARM,Long-Tail,1.0,94,2820.0,Overstock Risk,Overstock Review / Reduce Replenishment
84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK,Long-Tail,1.0,94,2820.0,Overstock Risk,Overstock Review / Reduce Replenishment
84856L,LARGE TAHITI BEACH BAG,Long-Tail,1.0,92,2760.0,Overstock Risk,Overstock Review / Reduce Replenishment
90068,"RUBY GLASS NECKLACE 42""",Long-Tail,1.0,92,2760.0,Overstock Risk,Overstock Review / Reduce Replenishment
90184c,BLACK CHUNKY BEAD BRACELET W STRAP,Long-Tail,1.0,92,2760.0,Overstock Risk,Overstock Review / Reduce Replenishment
47518f,ICON PLACEMAT POP ART ELVIS,Long-Tail,1.25,114,2736.0,Overstock Risk,Overstock Review / Reduce Replenishment
85035b,CHOCOLATE 3 WICK MORRIS BOX CANDLE,Long-Tail,1.0,91,2730.0,Overstock Risk,Overstock Review / Reduce Replenishment
90183c,BLACK DROP EARRINGS W LONG BEADS,Long-Tail,1.0,91,2730.0,Overstock Risk,Overstock Review / Reduce Replenishment
90027C,GLASS BEAD HOOP EARRINGS GREEN,Long-Tail,1.25,113,2712.0,Overstock Risk,Overstock Review / Reduce Replenishment
90053,CRACKED GLAZE EARRINGS IVORY,Long-Tail,1.0,90,2700.0,Overstock Risk,Overstock Review / Reduce Replenishment
90074,BLACK DIAMOND CLUSTER NECKLACE,Long-Tail,1.3333333333333333,119,2677.5000000000005,Overstock Risk,Overstock Review / Reduce Replenishment
90152C,BLUE/NAT SHELL NECKLACE W PENDANT,Long-Tail,1.0,88,2640.0,Overstock Risk,Overstock Review / Reduce Replenishment
90025B,BAROQUE BUTTERFLY EARRINGS RED,Long-Tail,1.0,88,2640.0,Overstock Risk,Overstock Review / Reduce Replenishment
90181C,BLACK GLASS/SHELL/PEARL NECKLACE,Long-Tail,1.0,87,2610.0,Overstock Risk,Overstock Review / Reduce Replenishment
23634,SET 10 CARDS XMAS CHOIR 17068,Long-Tail,1.25,108,2592.0,Overstock Risk,Overstock Review / Reduce Replenishment
90037A,TINY CRYSTAL BRACELET RED,Long-Tail,1.0,86,2580.0,Overstock Risk,Overstock Review / Reduce Replenishment
90060B,FIRE POLISHED GLASS NECKL GOLD,Long-Tail,1.0,86,2580.0,Overstock Risk,Overstock Review / Reduce Replenishment
20860,GOLD COSMETICS BAG WITH BUTTERFLY,Long-Tail,1.0,86,2580.0,Overstock Risk,Overstock Review / Reduce Replenishment
47570b,TEA TIME TABLE CLOTH,Long-Tail,1.0,85,2550.0,Overstock Risk,Overstock Review / Reduce Replenishment
85034a,3 GARDENIA MORRIS BOXED CANDLES,Long-Tail,1.0,85,2550.0,Overstock Risk,Overstock Review / Reduce Replenishment
90126A,PINK BERTIE MOBILE PHONE CHARM,Long-Tail,1.0,84,2520.0,Overstock Risk,Overstock Review / Reduce Replenishment
90025A,BAROQUE BUTTERFLY EARRINGS BLACK,Long-Tail,1.0,83,2490.0,Overstock Risk,Overstock Review / Reduce Replenishment
22146,EASTER CRAFT IVY WREATH WITH CHICK,Long-Tail,1.0,83,2490.0,Overstock Risk,Overstock Review / Reduce Replenishment
85049d,BRIGHT BLUES RIBBONS,Long-Tail,1.0,83,2490.0,Overstock Risk,Overstock Review / Reduce Replenishment
37474,SET/4 2 TONE EGG SHAPE MIXING BOWLS,Long-Tail,1.0,83,2490.0,Overstock Risk,Overstock Review / Reduce Replenishment
22206,"MUG , DOTCOMGIFTSHOP.COM",Long-Tail,1.0,82,2460.0,Overstock Risk,Overstock Review / Reduce Replenishment
90029,NEW BAROQUE SMALL NECKLACE BLACK,Long-Tail,1.25,102,2448.0,Overstock Risk,Overstock Review / Reduce Replenishment
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,Long-Tail,1.3333333333333333,108,2430.0000000000005,Overstock Risk,Overstock Review / Reduce Replenishment
35597A,DUSTY PINK CHRISTMAS TREE 30CM,Long-Tail,1.0,81,2430.0,Overstock Risk,Overstock Review / Reduce Replenishment
PADS,PADS TO MATCH ALL CUSHIONS,Long-Tail,1.0,81,2430.0,Overstock Risk,Overstock Review / Reduce Replenishment
90060F,FIRE POLISHED GLASS NECKL GREEN,Long-Tail,1.2,97,2425.0,Overstock Risk,Overstock Review / Reduce Replenishment
90016C,SILVER/BLACK PENDANT ORBIT NECKLACE,Long-Tail,1.0,79,2370.0,Overstock Risk,Overstock Review / Reduce Replenishment
90025D,BAROQUE BUTTERFLY EARRINGS PINK,Long-Tail,1.0,78,2340.0,Overstock Risk,Overstock Review / Reduce Replenishment
90176A,CLASSIC DIAMANTE NECKLACE JET,Long-Tail,1.5,117,2340.0,Overstock Risk,Overstock Review / Reduce Replenishment
37461,FUNKY MONKEY MUG,Long-Tail,1.0,78,2340.0,Overstock Risk,Overstock Review / Reduce Replenishment
85184c,SET 4 VALENTINE DECOUPAGE HEART BOX,Long-Tail,1.0,77,2310.0,Overstock Risk,Overstock Review / Reduce Replenishment
90180B,PURPLE AMETHYST NECKLACE W TASSEL,Long-Tail,1.25,96,2304.0,Overstock Risk,Overstock Review / Reduce Replenishment
90077,BLACK DIAMOND CLUSTER EARRINGS,Long-Tail,1.5,115,2300.0,Overstock Risk,Overstock Review / Reduce Replenishment
84509b,SET OF 4 FAIRY CAKE PLACEMATS,Long-Tail,1.25,94,2256.0,Overstock Risk,Overstock Review / Reduce Replenishment
gift_0001_30,DOTCOMGIFTSHOP GIFT VOUCHER £30.00,Long-Tail,1.4,105,2250.0000000000005,Overstock Risk,Overstock Review / Reduce Replenishment
35609A,PINK FEATHER CHRISTMAS DECORATION,Long-Tail,1.0,75,2250.0,Overstock Risk,Overstock Review / Reduce Replenishment
21491,SET OF THREE VINTAGE GIFT WRAPS,Long-Tail,1.0,74,2220.0,Overstock Risk,Overstock Review / Reduce Replenishment
90011D,PURPLE CRYSTAL DROP EARRINGS,Long-Tail,1.0,74,2220.0,Overstock Risk,Overstock Review / Reduce Replenishment
72815,3 WICK CHRISTMAS BRIAR CANDLE,Long-Tail,1.5,109,2180.0,Overstock Risk,Overstock Review / Reduce Replenishment
90130D,RED STONE/CRYSTAL EARRINGS,Long-Tail,1.5,107,2140.0,Overstock Risk,Overstock Review / Reduce Replenishment
90132,LIGHT TOPAZ TEAL/AQUA COL NECKLACE,Long-Tail,1.0,71,2130.0,Overstock Risk,Overstock Review / Reduce Replenishment
21416,CLAM SHELL LARGE,Long-Tail,1.6666666666666667,118,2124.0,Overstock Risk,Overstock Review / Reduce Replenishment
45013,FOLDING SHOE TIDY,Long-Tail,1.5,106,2120.0,Overstock Risk,Overstock Review / Reduce Replenishment
84977,WIRE FLOWER T-LIGHT HOLDER,Long-Tail,1.0,70,2100.0,Overstock Risk,Overstock Review / Reduce Replenishment
84596l,BISCUITS SMALL BOWL LIGHT BLUE,Long-Tail,1.0,70,2100.0,Overstock Risk,Overstock Review / Reduce Replenishment
m,MANUAL,Long-Tail,1.0,70,2100.0,Overstock Risk,Overstock Review / Reduce Replenishment
90025F,BAROQUE BUTTERFLY EARRINGS CRYSTAL,Long-Tail,1.3333333333333333,92,2070.0000000000005,Overstock Risk,Overstock Review / Reduce Replenishment
90021,LASER CUT MULTI STRAND NECKLACE,Long-Tail,1.0,69,2070.0,Overstock Risk,Overstock Review / Reduce Replenishment
46776b,WOVEN BERRIES CUSHION COVER,Long-Tail,1.0,69,2070.0,Overstock Risk,Overstock Review / Reduce Replenishment
90024B,NEW BAROQUE B'FLY NECKLACE RED,Long-Tail,1.6,109,2043.7499999999998,Overstock Risk,Overstock Review / Reduce Replenishment
85160a,WHITE BIRD GARDEN DESIGN MUG,Long-Tail,1.0,68,2040.0,Overstock Risk,Overstock Review / Reduce Replenishment
90024F,NEW BAROQUE B'FLY NECKLACE CRYSTAL,Long-Tail,1.25,85,2040.0,Overstock Risk,Overstock Review / Reduce Replenishment
DCGS0069,OOH LA LA DOGS COLLAR,Long-Tail,1.0,68,2040.0,Overstock Risk,Overstock Review / Reduce Replenishment
gift_0001_10,DOTCOMGIFTSHOP GIFT VOUCHER £10.00,Long-Tail,1.5,102,2040.0,Overstock Risk,Overstock Review / Reduce Replenishment
72807c,SET/3 VANILLA SCENTED CANDLE IN BOX,Long-Tail,1.6666666666666667,113,2033.9999999999998,Overstock Risk,Overstock Review / Reduce Replenishment
90148,LONG SILVER NECKLACE PASTEL FLOWER,Long-Tail,1.3333333333333333,89,2002.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
35809a,ENAMEL PINK TEA CONTAINER,Long-Tail,1.5,99,1980.0,Overstock Risk,Overstock Review / Reduce Replenishment
90033,IVORY SHELL HEART EARRINGS,Long-Tail,1.4285714285714286,93,1952.9999999999998,Overstock Risk,Overstock Review / Reduce Replenishment
90189A,SILVER 2 STRAND NECKLACE-LEAF CHARM,Long-Tail,1.0,65,1950.0,Overstock Risk,Overstock Review / Reduce Replenishment
23644,SET 10 CARDS CHRISTMAS TREE 16955,Long-Tail,1.25,81,1944.0,Overstock Risk,Overstock Review / Reduce Replenishment
84562A,PINK/WHITE RIBBED MELAMINE JUG,Long-Tail,1.5,97,1940.0,Overstock Risk,Overstock Review / Reduce Replenishment
gift_0001_50,DOTCOMGIFTSHOP GIFT VOUCHER £50.00,Long-Tail,1.3333333333333333,86,1935.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
23610,SET 10 CARDS CHRISTMAS ROBIN 17095,Long-Tail,1.5,95,1900.0,Overstock Risk,Overstock Review / Reduce Replenishment
90124A,PINK MURANO TWIST NECKLACE,Long-Tail,1.6,101,1893.7499999999998,Overstock Risk,Overstock Review / Reduce Replenishment
84689,S/2 BEACH HUT TREASURE CHESTS,Long-Tail,1.5,94,1880.0,Overstock Risk,Overstock Review / Reduce Replenishment
23639,SET 10 CARDS MAGICAL TREE 17086,Long-Tail,1.3333333333333333,83,1867.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
47591b,SCOTTIES CHILDRENS APRON,Long-Tail,1.0,62,1860.0,Overstock Risk,Overstock Review / Reduce Replenishment
90054,CRACKED GLAZE EARRINGS RED,Long-Tail,1.5,93,1860.0,Overstock Risk,Overstock Review / Reduce Replenishment
90122B,JADE CRYSTAL+GLASS BRACELET,Long-Tail,1.2,73,1825.0,Overstock Risk,Overstock Review / Reduce Replenishment
23615,SET 10 CARDS PRINTED GRAPHIC 17219,Long-Tail,1.3333333333333333,80,1800.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90052,CRACKED GLAZE NECKLACE BROWN,Long-Tail,1.0,60,1800.0,Overstock Risk,Overstock Review / Reduce Replenishment
84031a,CHARLIE+LOLA RED HOT WATER BOTTLE,Long-Tail,1.0,60,1800.0,Overstock Risk,Overstock Review / Reduce Replenishment
90141D,ROSE PENDANT TRIPLE SHELL NECKLACE,Long-Tail,2.0,119,1785.0,Overstock Risk,Overstock Review / Reduce Replenishment
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,Long-Tail,2.0,118,1770.0,Overstock Risk,Overstock Review / Reduce Replenishment
21895,POTTING SHED SOW 'N' GROW SET,Long-Tail,2.0,117,1755.0,Overstock Risk,Overstock Review / Reduce Replenishment
35833G,4 GOLD FLOCK CHRISTMAS BALLS,Long-Tail,2.0,117,1755.0,Overstock Risk,Overstock Review / Reduce Replenishment
23617,SET 10 CARDS SWIRLY XMAS TREE 17104,Long-Tail,2.0,116,1740.0,Overstock Risk,Overstock Review / Reduce Replenishment
90206A,GOLD DIAMANTE STAR BROOCH,Long-Tail,2.0,116,1740.0,Overstock Risk,Overstock Review / Reduce Replenishment
90130C,GREEN STONE/CRYSTAL EARRINGS,Long-Tail,1.75,101,1731.4285714285713,Overstock Risk,Overstock Review / Reduce Replenishment
21667,GLASS CAKE COVER AND PLATE,Long-Tail,2.0,115,1725.0,Overstock Risk,Overstock Review / Reduce Replenishment
90081B,LILY BROOCH WHITE/SILVER COLOUR,Long-Tail,1.0,57,1710.0,Overstock Risk,Overstock Review / Reduce Replenishment
77079,DOLPHIN WINDMILL,Long-Tail,1.0,57,1710.0,Overstock Risk,Overstock Review / Reduce Replenishment
90176C,DIAMANTE NECKLACE,Long-Tail,1.5,85,1700.0,Overstock Risk,Overstock Review / Reduce Replenishment
90035A,"PEARL & SHELL 42""NECKL. GREEN",Long-Tail,1.6666666666666667,94,1691.9999999999998,Overstock Risk,Overstock Review / Reduce Replenishment
23654,SET 10 CARD SNOWMAN 16965,Long-Tail,1.6666666666666667,94,1691.9999999999998,Overstock Risk,Overstock Review / Reduce Replenishment
90128B,BLUE LEAVES AND BEADS PHONE CHARM,Long-Tail,2.0,111,1665.0,Overstock Risk,Overstock Review / Reduce Replenishment
21268,VINTAGE BLUE TINSEL REEL,Long-Tail,2.0,110,1650.0,Overstock Risk,Overstock Review / Reduce Replenishment
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,Long-Tail,2.0,110,1650.0,Overstock Risk,Overstock Review / Reduce Replenishment
20703,BLUE PADDED SOFT MOBILE,Long-Tail,1.0,55,1650.0,Overstock Risk,Overstock Review / Reduce Replenishment
90127A,PINK BEADS+HAND PHONE CHARM,Long-Tail,2.0,110,1650.0,Overstock Risk,Overstock Review / Reduce Replenishment
90094,NECKLACE+BRACELET SET FRUIT SALAD,Long-Tail,2.0,110,1650.0,Overstock Risk,Overstock Review / Reduce Replenishment
79192A,RETRO PLASTIC 70'S TRAY,Long-Tail,1.5,82,1640.0,Overstock Risk,Overstock Review / Reduce Replenishment
37491A,YELLOW/PINK CERAMIC CANDLE HOLDER,Long-Tail,1.5,82,1640.0,Overstock Risk,Overstock Review / Reduce Replenishment
37491D,PURPLE/BLUE CERAMIC CANDLE HOLDER,Long-Tail,2.0,109,1635.0,Overstock Risk,Overstock Review / Reduce Replenishment
90199D,5 STRAND GLASS NECKLACE AMBER,Long-Tail,1.2,65,1625.0,Overstock Risk,Overstock Review / Reduce Replenishment
90142A,GREEN PENDANT SHELL NECKLACE,Long-Tail,1.0,54,1620.0,Overstock Risk,Overstock Review / Reduce Replenishment
90130A,WHITE STONE/CRYSTAL EARRINGS,Long-Tail,2.0,108,1620.0,Overstock Risk,Overstock Review / Reduce Replenishment
21761,WOOD AND GLASS MEDICINE CABINET,Long-Tail,1.1111111111111112,60,1619.9999999999998,Overstock Risk,Overstock Review / Reduce Replenishment
90065A,WHITE VINTAGE CRYSTAL BRACELET,Long-Tail,1.75,94,1611.4285714285713,Overstock Risk,Overstock Review / Reduce Replenishment
90182B,AMETHYST 3 BEAD DROP EARRINGS,Long-Tail,1.6666666666666667,89,1602.0,Overstock Risk,Overstock Review / Reduce Replenishment
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,Long-Tail,1.8,95,1583.3333333333333,Overstock Risk,Overstock Review / Reduce Replenishment
90165B,WHITE ROSEBUD  PEARL EARRINGS,Long-Tail,2.111111111111111,111,1577.3684210526314,Overstock Risk,Overstock Review / Reduce Replenishment
90010A,MIDNIGHT BLUE GLASS/SILVER BRACELET,Long-Tail,2.0,105,1575.0,Overstock Risk,Overstock Review / Reduce Replenishment
90141B,IVORY PENDANT TRIPLE SHELL NECKLACE,Long-Tail,1.8,94,1566.6666666666665,Overstock Risk,Overstock Review / Reduce Replenishment
84227,HEN HOUSE W CHICK IN NEST,Long-Tail,1.0,52,1560.0,Overstock Risk,Overstock Review / Reduce Replenishment
90024C,NEW BAROQUE B'FLY NECKLACE GREEN,Long-Tail,1.3333333333333333,69,1552.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90181A,AMBER GLASS/SHELL/PEARL NECKLACE,Long-Tail,1.4,72,1542.8571428571431,Overstock Risk,Overstock Review / Reduce Replenishment
90026D,GLASS BEAD HOOP NECKLACE AMETHYST,Long-Tail,1.0,51,1530.0,Overstock Risk,Overstock Review / Reduce Replenishment
90140,PINK SWEETIE NECKLACE,Long-Tail,1.0,51,1530.0,Overstock Risk,Overstock Review / Reduce Replenishment
84824,DANISH ROSE UMBRELLA STAND,Long-Tail,1.0,51,1530.0,Overstock Risk,Overstock Review / Reduce Replenishment
90177E,DROP DIAMANTE EARRINGS GREEN,Long-Tail,2.0,101,1515.0,Overstock Risk,Overstock Review / Reduce Replenishment
DCGS0003,BOXED GLASS ASHTRAY,Long-Tail,1.3333333333333333,67,1507.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
20695,FLORAL BLUE MONSTER,Long-Tail,1.25,62,1488.0,Overstock Risk,Overstock Review / Reduce Replenishment
37509,NEW ENGLAND MUG W GIFT BOX,Long-Tail,2.0,99,1485.0,Overstock Risk,Overstock Review / Reduce Replenishment
90123D,WHITE HEART OF GLASS BRACELET,Long-Tail,1.2,59,1475.0,Overstock Risk,Overstock Review / Reduce Replenishment
gift_0001_40,DOTCOMGIFTSHOP GIFT VOUCHER £40.00,Long-Tail,1.0,49,1470.0,Overstock Risk,Overstock Review / Reduce Replenishment
21331,MOROCCAN BEATEN METAL DISH LARGE,Long-Tail,2.0,98,1470.0,Overstock Risk,Overstock Review / Reduce Replenishment
84550,CROCHET LILAC/RED BEAR KEYRING,Long-Tail,1.0,49,1470.0,Overstock Risk,Overstock Review / Reduce Replenishment
90027D,GLASS BEAD HOOP EARRINGS AMETHYST,Long-Tail,2.25,110,1466.6666666666667,Overstock Risk,Overstock Review / Reduce Replenishment
85231g,ORANGE SCENTED SET/9 T-LIGHTS,Long-Tail,1.5,73,1460.0,Overstock Risk,Overstock Review / Reduce Replenishment
23633,SET 10 CARDS WORLD CHILDREN 17067,Long-Tail,1.5,73,1460.0,Overstock Risk,Overstock Review / Reduce Replenishment
90023,FILIGREE DIAMANTE EARRINGS,Long-Tail,1.8571428571428572,90,1453.8461538461538,Overstock Risk,Overstock Review / Reduce Replenishment
35598C,WHITE CHRISTMAS TREE 60CM,Long-Tail,2.0,96,1440.0,Overstock Risk,Overstock Review / Reduce Replenishment
90181B,AMETHYST GLASS/SHELL/PEARL NECKLACE,Long-Tail,1.875,90,1440.0,Overstock Risk,Overstock Review / Reduce Replenishment
90128C,GREEN LEAVES AND BEADS PHONE CHARM,Long-Tail,1.0,48,1440.0,Overstock Risk,Overstock Review / Reduce Replenishment
85031B,BLOSSOM IMAGES SCRAP BOOK SET,Long-Tail,1.0,48,1440.0,Overstock Risk,Overstock Review / Reduce Replenishment
22823,CHEST NATURAL WOOD 20 DRAWERS,Long-Tail,2.4,115,1437.5,Overstock Risk,Overstock Review / Reduce Replenishment
90180A,BLACK+WHITE NECKLACE W TASSEL,Long-Tail,2.4285714285714284,116,1432.9411764705885,Overstock Risk,Overstock Review / Reduce Replenishment
90182A,AMBER 3 BEAD DROP EARRINGS,Long-Tail,1.6,76,1425.0,Overstock Risk,Overstock Review / Reduce Replenishment
90161A,ANT COPPER RED BOUDICCA BRACELET,Long-Tail,2.4,114,1425.0,Overstock Risk,Overstock Review / Reduce Replenishment
90042C,FRESHWATER PEARL BRACELET IVORY,Long-Tail,2.5,118,1416.0,Overstock Risk,Overstock Review / Reduce Replenishment
90081A,LILY BROOCH AMETHYST COLOUR,Long-Tail,2.142857142857143,101,1414.0,Overstock Risk,Overstock Review / Reduce Replenishment
20861,GOLD COSMETIC BAG PINK STAR,Long-Tail,2.0,94,1410.0,Overstock Risk,Overstock Review / Reduce Replenishment
90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,Long-Tail,1.0,47,1410.0,Overstock Risk,Overstock Review / Reduce Replenishment
90175D,TIGRIS EYE CHUNKY CHARM BRACELET,Long-Tail,2.3,108,1408.6956521739132,Overstock Risk,Overstock Review / Reduce Replenishment
90159,COTE D'AZURE NECKLACE,Long-Tail,1.5,70,1400.0,Overstock Risk,Overstock Review / Reduce Replenishment
90038B,GLASS AND PAINTED BEADS BRACELET OL,Long-Tail,2.1666666666666665,101,1398.4615384615386,Overstock Risk,Overstock Review / Reduce Replenishment
90041,PEARL AND CHERRY QUARTZ BRACLET,Long-Tail,1.25,58,1392.0,Overstock Risk,Overstock Review / Reduce Replenishment
90128A,PINK LEAVES AND BEADS PHONE CHARM,Long-Tail,1.5,69,1380.0,Overstock Risk,Overstock Review / Reduce Replenishment
90212C,PURPLE LAS VEGAS BRACELET ROUND,Long-Tail,2.3333333333333335,107,1375.7142857142858,Overstock Risk,Overstock Review / Reduce Replenishment
90202B,WHITE ENAMEL FLOWER HAIR TIE,Long-Tail,2.4285714285714284,111,1371.1764705882354,Overstock Risk,Overstock Review / Reduce Replenishment
90055,CRACKED GLAZE EARRINGS BROWN,Long-Tail,1.25,57,1368.0,Overstock Risk,Overstock Review / Reduce Replenishment
90043,COPPER AND BRASS BAG CHARM,Long-Tail,2.0,91,1365.0,Overstock Risk,Overstock Review / Reduce Replenishment
84247N,PACK/12 BLUE FOLKART CARDS,Long-Tail,2.4444444444444446,111,1362.2727272727273,Overstock Risk,Overstock Review / Reduce Replenishment
90042A,FRESHWATER PEARL BRACELET GOLD,Long-Tail,1.5,68,1360.0,Overstock Risk,Overstock Review / Reduce Replenishment
15056p,EDWARDIAN PARASOL PINK,Long-Tail,2.5384615384615383,115,1359.0909090909092,Overstock Risk,Overstock Review / Reduce Replenishment
21594,DR. JAM'S AROUZER STRESS BALL,Long-Tail,1.0,45,1350.0,Overstock Risk,Overstock Review / Reduce Replenishment
90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,Long-Tail,2.6,117,1350.0,Overstock Risk,Overstock Review / Reduce Replenishment
23643,SET 10 CARDS CHRISTMAS BAUBLE 16954,Long-Tail,1.0,44,1320.0,Overstock Risk,Overstock Review / Reduce Replenishment
90011A,MIDNIGHT BLUE CRYSTAL DROP EARRINGS,Long-Tail,1.5,66,1320.0,Overstock Risk,Overstock Review / Reduce Replenishment
85132c,CHARLIE AND LOLA FIGURES TINS,Long-Tail,1.5,66,1320.0,Overstock Risk,Overstock Review / Reduce Replenishment
84925D,LA PALMIERA WALL THERMOMETER,Long-Tail,2.5,108,1296.0,Overstock Risk,Overstock Review / Reduce Replenishment
90000B,MIDNIGHT BLUE COPPER FLOWER NECKLAC,Long-Tail,1.8333333333333333,79,1292.7272727272727,Overstock Risk,Overstock Review / Reduce Replenishment
85036b,CHOCOLATE 1 WICK MORRIS BOX CANDLE,Long-Tail,1.0,43,1290.0,Overstock Risk,Overstock Review / Reduce Replenishment
23624,SET 10 CARD PERFECT NATIVITY 17089,Long-Tail,1.3333333333333333,57,1282.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90184A,AMBER CHUNKY BEAD BRACELET W STRAP,Long-Tail,2.1666666666666665,91,1260.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
21661,VINTAGE GLASS TEA CADDY,Long-Tail,1.5,63,1260.0,Overstock Risk,Overstock Review / Reduce Replenishment
DCGS0004,HAYNES CAMPER SHOULDER BAG,Long-Tail,1.0,42,1260.0,Overstock Risk,Overstock Review / Reduce Replenishment
90010B,BLACK/WHITE GLASS/SILVER BRACELET,Long-Tail,2.75,115,1254.5454545454547,Overstock Risk,Overstock Review / Reduce Replenishment
84968B,SET OF 16 VINTAGE IVORY CUTLERY,Long-Tail,1.0,41,1230.0,Overstock Risk,Overstock Review / Reduce Replenishment
22218,CAKE STAND LACE WHITE,Long-Tail,1.0,41,1230.0,Overstock Risk,Overstock Review / Reduce Replenishment
90184C,BLACK CHUNKY BEAD BRACELET W STRAP,Long-Tail,2.1,86,1228.5714285714284,Overstock Risk,Overstock Review / Reduce Replenishment
90190C,SILVER/AMETHYST DROP EARRINGS LEAF,Long-Tail,2.857142857142857,116,1218.0,Overstock Risk,Overstock Review / Reduce Replenishment
85036a,GARDENIA 1 WICK MORRIS BOXED CANDLE,Long-Tail,2.0,81,1215.0,Overstock Risk,Overstock Review / Reduce Replenishment
90165A,PINK ROSEBUD PEARL EARRINGS,Long-Tail,2.2857142857142856,92,1207.5,Overstock Risk,Overstock Review / Reduce Replenishment
90176D,DIAMANTE NECKLACE PURPLE,Long-Tail,1.75,70,1200.0,Overstock Risk,Overstock Review / Reduce Replenishment
90124B,BLUE MURANO TWIST NECKLACE,Long-Tail,1.5,60,1200.0,Overstock Risk,Overstock Review / Reduce Replenishment
