invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,invoice_date_only,invoice_month,invoice_week,revenue
538071,DOT,DOTCOM POSTAGE,1,2010-12-09 14:09:00,885.94,,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,885.94
538093,POST,POSTAGE,5,2010-12-09 14:49:00,18.0,12682.0,France,2010-12-09,2010-12,2010-12-06/2010-12-12,90.0
538147,M,MANUAL,1,2010-12-09 16:11:00,15.0,13090.0,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,15.0
538148,DOT,DOTCOM POSTAGE,1,2010-12-09 16:26:00,547.32,,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,547.32
538149,DOT,DOTCOM POSTAGE,1,2010-12-09 16:27:00,620.68,,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,620.68
538153,DOT,DOTCOM POSTAGE,1,2010-12-09 16:31:00,822.94,,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,822.94
538154,DOT,DOTCOM POSTAGE,1,2010-12-09 16:35:00,85.79,,United Kingdom,2010-12-09,2010-12,2010-12-06/2010-12-12,85.79
538175,POST,POSTAGE,21,2010-12-10 09:48:00,18.0,12471.0,Germany,2010-12-10,2010-12,2010-12-06/2010-12-12,378.0
538177,DOT,DOTCOM POSTAGE,1,2010-12-10 09:51:00,847.42,,United Kingdom,2010-12-10,2010-12,2010-12-06/2010-12-12,847.42
538196,POST,POSTAGE,8,2010-12-10 10:56:00,18.0,12731.0,France,2010-12-10,2010-12,2010-12-06/2010-12-12,144.0
538311,POST,POSTAGE,2,2010-12-10 13:48:00,28.0,12785.0,Portugal,2010-12-10,2010-12,2010-12-06/2010-12-12,56.0
538349,DOT,DOTCOM POSTAGE,1,2010-12-10 14:59:00,907.47,,United Kingdom,2010-12-10,2010-12,2010-12-06/2010-12-12,907.47
538524,DOT,DOTCOM POSTAGE,1,2010-12-13 09:35:00,641.86,,United Kingdom,2010-12-13,2010-12,2010-12-13/2010-12-19,641.86
538525,POST,POSTAGE,5,2010-12-13 09:39:00,28.0,12540.0,Spain,2010-12-13,2010-12,2010-12-13/2010-12-19,140.0
538566,DOT,DOTCOM POSTAGE,1,2010-12-13 11:21:00,584.59,,United Kingdom,2010-12-13,2010-12,2010-12-13/2010-12-19,584.59
538597,M,MANUAL,1,2010-12-13 12:26:00,1.25,15555.0,United Kingdom,2010-12-13,2010-12,2010-12-13/2010-12-19,1.25
538685,POST,POSTAGE,1,2010-12-14 09:39:00,15.0,15694.0,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,15.0
538707,M,MANUAL,2,2010-12-14 10:38:00,0.21,17894.0,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,0.42
538807,M,MANUAL,4,2010-12-14 12:06:00,0.21,17194.0,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,0.84
538807,M,MANUAL,1,2010-12-14 12:06:00,20.0,17194.0,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,20.0
538807,M,MANUAL,1,2010-12-14 12:06:00,5.0,17194.0,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,5.0
538880,DOT,DOTCOM POSTAGE,1,2010-12-14 15:52:00,113.45,,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,113.45
538881,DOT,DOTCOM POSTAGE,1,2010-12-14 15:54:00,198.17,,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,198.17
538883,DOT,DOTCOM POSTAGE,1,2010-12-14 15:56:00,340.72,,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,340.72
538884,DOT,DOTCOM POSTAGE,1,2010-12-14 15:56:00,146.85,,United Kingdom,2010-12-14,2010-12,2010-12-13/2010-12-19,146.85
539014,M,MANUAL,48,2010-12-15 13:37:00,0.32,17692.0,United Kingdom,2010-12-15,2010-12,2010-12-13/2010-12-19,15.36
539056,M,MANUAL,1,2010-12-15 16:38:00,1.45,16725.0,United Kingdom,2010-12-15,2010-12,2010-12-13/2010-12-19,1.45
539317,M,MANUAL,2,2010-12-16 19:04:00,3.0,17392.0,United Kingdom,2010-12-16,2010-12,2010-12-13/2010-12-19,6.0
539318,POST,POSTAGE,6,2010-12-16 19:09:00,40.0,12348.0,Finland,2010-12-16,2010-12,2010-12-13/2010-12-19,240.0
539327,POST,POSTAGE,1,2010-12-17 09:24:00,18.0,12600.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,18.0
539330,POST,POSTAGE,3,2010-12-17 09:38:00,40.0,12370.0,Austria,2010-12-17,2010-12,2010-12-13/2010-12-19,120.0
539353,POST,POSTAGE,3,2010-12-17 11:30:00,28.0,12782.0,Portugal,2010-12-17,2010-12,2010-12-13/2010-12-19,84.0
539391,POST,POSTAGE,2,2010-12-17 11:51:00,15.0,12417.0,Belgium,2010-12-17,2010-12,2010-12-13/2010-12-19,30.0
539395,POST,POSTAGE,11,2010-12-17 11:52:00,18.0,12471.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,198.0
539403,POST,POSTAGE,2,2010-12-17 12:21:00,18.0,12647.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,36.0
539405,POST,POSTAGE,6,2010-12-17 12:38:00,18.0,12621.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,108.0
539407,POST,POSTAGE,1,2010-12-17 12:56:00,18.0,12726.0,France,2010-12-17,2010-12,2010-12-13/2010-12-19,18.0
539408,POST,POSTAGE,3,2010-12-17 12:56:00,18.0,12720.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,54.0
539434,DOT,DOTCOM POSTAGE,1,2010-12-17 14:41:00,510.79,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,510.79
539435,POST,POSTAGE,1,2010-12-17 14:46:00,18.0,12691.0,France,2010-12-17,2010-12,2010-12-13/2010-12-19,18.0
539436,DOT,DOTCOM POSTAGE,1,2010-12-17 14:49:00,565.37,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,565.37
539437,DOT,DOTCOM POSTAGE,1,2010-12-17 14:54:00,803.55,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,803.55
539446,POST,POSTAGE,9,2010-12-17 15:58:00,18.0,12705.0,Germany,2010-12-17,2010-12,2010-12-13/2010-12-19,162.0
539447,POST,POSTAGE,3,2010-12-17 16:00:00,18.0,12395.0,Belgium,2010-12-17,2010-12,2010-12-13/2010-12-19,54.0
539451,DOT,DOTCOM POSTAGE,1,2010-12-17 16:59:00,662.14,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,662.14
539453,DOT,DOTCOM POSTAGE,1,2010-12-17 17:08:00,603.62,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,603.62
539457,M,MANUAL,2,2010-12-17 17:24:00,1.0,,United Kingdom,2010-12-17,2010-12,2010-12-13/2010-12-19,2.0
539466,POST,POSTAGE,4,2010-12-19 12:46:00,18.0,12668.0,Germany,2010-12-19,2010-12,2010-12-13/2010-12-19,72.0
539491,POST,POSTAGE,1,2010-12-20 10:09:00,15.0,14646.0,Netherlands,2010-12-20,2010-12,2010-12-20/2010-12-26,15.0
539492,DOT,DOTCOM POSTAGE,1,2010-12-20 10:14:00,396.81,,United Kingdom,2010-12-20,2010-12,2010-12-20/2010-12-26,396.81
539551,POST,POSTAGE,1,2010-12-20 11:38:00,18.0,12721.0,France,2010-12-20,2010-12,2010-12-20/2010-12-26,18.0
539595,DOT,DOTCOM POSTAGE,1,2010-12-20 13:43:00,350.78,,United Kingdom,2010-12-20,2010-12,2010-12-20/2010-12-26,350.78
539607,POST,POSTAGE,5,2010-12-20 14:10:00,18.0,12681.0,France,2010-12-20,2010-12,2010-12-20/2010-12-26,90.0
539631,DOT,DOTCOM POSTAGE,1,2010-12-20 15:03:00,250.83,,United Kingdom,2010-12-20,2010-12,2010-12-20/2010-12-26,250.83
539636,POST,POSTAGE,6,2010-12-20 15:15:00,18.0,12481.0,Germany,2010-12-20,2010-12,2010-12-20/2010-12-26,108.0
539651,M,MANUAL,1,2010-12-20 16:19:00,22.0,,United Kingdom,2010-12-20,2010-12,2010-12-20/2010-12-26,22.0
539676,POST,POSTAGE,3,2010-12-21 10:54:00,15.0,12423.0,Belgium,2010-12-21,2010-12,2010-12-20/2010-12-26,45.0
539708,DOT,DOTCOM POSTAGE,1,2010-12-21 12:18:00,182.37,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,182.37
539718,DOT,DOTCOM POSTAGE,1,2010-12-21 13:06:00,112.37,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,112.37
539727,POST,POSTAGE,1,2010-12-21 14:26:00,18.0,12678.0,France,2010-12-21,2010-12,2010-12-20/2010-12-26,18.0
539735,DOT,DOTCOM POSTAGE,1,2010-12-21 15:17:00,164.55,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,164.55
539736,DOT,DOTCOM POSTAGE,1,2010-12-21 15:18:00,337.23,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,337.23
539737,DOT,DOTCOM POSTAGE,1,2010-12-21 15:19:00,514.0,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,514.0
539738,DOT,DOTCOM POSTAGE,1,2010-12-21 15:19:00,549.79,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,549.79
539739,DOT,DOTCOM POSTAGE,1,2010-12-21 15:19:00,324.43,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,324.43
539740,DOT,DOTCOM POSTAGE,1,2010-12-21 15:20:00,311.66,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,311.66
539741,DOT,DOTCOM POSTAGE,1,2010-12-21 15:20:00,128.6,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,128.6
539742,DOT,DOTCOM POSTAGE,1,2010-12-21 15:20:00,114.34,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,114.34
539743,DOT,DOTCOM POSTAGE,1,2010-12-21 15:20:00,103.57,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,103.57
539744,DOT,DOTCOM POSTAGE,1,2010-12-21 15:21:00,189.57,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,189.57
539745,DOT,DOTCOM POSTAGE,1,2010-12-21 15:21:00,152.68,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,152.68
539746,DOT,DOTCOM POSTAGE,1,2010-12-21 15:22:00,50.6,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,50.6
539747,DOT,DOTCOM POSTAGE,1,2010-12-21 15:23:00,50.64,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,50.64
539748,DOT,DOTCOM POSTAGE,1,2010-12-21 15:23:00,29.53,,United Kingdom,2010-12-21,2010-12,2010-12-20/2010-12-26,29.53
539752,POST,POSTAGE,3,2010-12-21 15:43:00,35.0,12515.0,Italy,2010-12-21,2010-12,2010-12-20/2010-12-26,105.0
539840,POST,POSTAGE,3,2010-12-22 14:28:00,15.0,12383.0,Belgium,2010-12-22,2010-12,2010-12-20/2010-12-26,45.0
539856,M,MANUAL,1,2010-12-22 14:41:00,1298.4,,United Kingdom,2010-12-22,2010-12,2010-12-20/2010-12-26,1298.4
539946,POST,POSTAGE,1,2010-12-23 11:46:00,18.0,13817.0,Germany,2010-12-23,2010-12,2010-12-20/2010-12-26,18.0
539957,POST,POSTAGE,6,2010-12-23 12:58:00,18.0,12585.0,Germany,2010-12-23,2010-12,2010-12-20/2010-12-26,108.0
539958,DOT,DOTCOM POSTAGE,1,2010-12-23 13:26:00,627.47,,United Kingdom,2010-12-23,2010-12,2010-12-20/2010-12-26,627.47
539988,M,MANUAL,18,2010-12-23 16:06:00,0.2,18116.0,United Kingdom,2010-12-23,2010-12,2010-12-20/2010-12-26,3.6
540021,M,MANUAL,1,2011-01-04 12:51:00,1.25,17841.0,United Kingdom,2011-01-04,2011-01,2011-01-03/2011-01-09,1.25
540026,DOT,DOTCOM POSTAGE,1,2011-01-04 13:25:00,469.7,,United Kingdom,2011-01-04,2011-01,2011-01-03/2011-01-09,469.7
540040,POST,POSTAGE,5,2011-01-04 14:20:00,40.0,12483.0,Sweden,2011-01-04,2011-01,2011-01-03/2011-01-09,200.0
540073,M,MANUAL,6,2011-01-04 14:47:00,1.65,16814.0,United Kingdom,2011-01-04,2011-01,2011-01-03/2011-01-09,9.899999999999999
540116,DOT,DOTCOM POSTAGE,1,2011-01-05 09:54:00,2.51,,United Kingdom,2011-01-05,2011-01,2011-01-03/2011-01-09,2.51
540154,DOT,DOTCOM POSTAGE,1,2011-01-05 11:30:00,192.86,,United Kingdom,2011-01-05,2011-01,2011-01-03/2011-01-09,192.86
540178,POST,POSTAGE,3,2011-01-05 12:42:00,18.0,12681.0,France,2011-01-05,2011-01,2011-01-03/2011-01-09,54.0
540238,DOT,DOTCOM POSTAGE,1,2011-01-05 14:44:00,109.19,,United Kingdom,2011-01-05,2011-01,2011-01-03/2011-01-09,109.19
540239,POST,POSTAGE,4,2011-01-05 14:48:00,18.0,12682.0,France,2011-01-05,2011-01,2011-01-03/2011-01-09,72.0
540242,M,MANUAL,1,2011-01-05 15:30:00,18.95,15046.0,United Kingdom,2011-01-05,2011-01,2011-01-03/2011-01-09,18.95
540255,DOT,DOTCOM POSTAGE,1,2011-01-05 16:50:00,219.24,,United Kingdom,2011-01-05,2011-01,2011-01-03/2011-01-09,219.24
540278,M,MANUAL,1,2011-01-06 12:31:00,1.65,15719.0,United Kingdom,2011-01-06,2011-01,2011-01-03/2011-01-09,1.65
540351,POST,POSTAGE,2,2011-01-06 14:26:00,18.0,12735.0,France,2011-01-06,2011-01,2011-01-03/2011-01-09,36.0
540352,DOT,DOTCOM POSTAGE,1,2011-01-06 14:27:00,306.35,,United Kingdom,2011-01-06,2011-01,2011-01-03/2011-01-09,306.35
540365,POST,POSTAGE,3,2011-01-06 16:12:00,18.0,12413.0,France,2011-01-06,2011-01,2011-01-03/2011-01-09,54.0
540410,POST,POSTAGE,3,2011-01-07 10:04:00,18.0,12530.0,Germany,2011-01-07,2011-01,2011-01-03/2011-01-09,54.0
540414,POST,POSTAGE,3,2011-01-07 10:32:00,18.0,12481.0,Germany,2011-01-07,2011-01,2011-01-03/2011-01-09,54.0
540418,DOT,DOTCOM POSTAGE,1,2011-01-07 11:04:00,369.95,,United Kingdom,2011-01-07,2011-01,2011-01-03/2011-01-09,369.95
540455,POST,POSTAGE,3,2011-01-07 12:07:00,18.0,12583.0,France,2011-01-07,2011-01,2011-01-03/2011-01-09,54.0
540458,POST,POSTAGE,8,2011-01-07 12:28:00,18.0,12501.0,Germany,2011-01-07,2011-01,2011-01-03/2011-01-09,144.0
540463,POST,POSTAGE,2,2011-01-07 13:13:00,18.0,12489.0,France,2011-01-07,2011-01,2011-01-03/2011-01-09,36.0
540468,DOT,DOTCOM POSTAGE,1,2011-01-07 13:55:00,278.97,,United Kingdom,2011-01-07,2011-01,2011-01-03/2011-01-09,278.97
540469,POST,POSTAGE,4,2011-01-07 14:04:00,28.0,12484.0,Spain,2011-01-07,2011-01,2011-01-03/2011-01-09,112.0
540480,POST,POSTAGE,4,2011-01-07 15:27:00,18.0,12480.0,Germany,2011-01-07,2011-01,2011-01-03/2011-01-09,72.0
540519,POST,POSTAGE,2,2011-01-09 12:12:00,28.0,12793.0,Portugal,2011-01-09,2011-01,2011-01-03/2011-01-09,56.0
540546,POST,POSTAGE,3,2011-01-09 15:56:00,28.0,12766.0,Portugal,2011-01-09,2011-01,2011-01-03/2011-01-09,84.0
540551,DOT,DOTCOM POSTAGE,1,2011-01-10 09:43:00,557.0,,United Kingdom,2011-01-10,2011-01,2011-01-10/2011-01-16,557.0
540553,POST,POSTAGE,1,2011-01-10 09:48:00,18.0,12500.0,Germany,2011-01-10,2011-01,2011-01-10/2011-01-16,18.0
540562,POST,POSTAGE,3,2011-01-10 10:35:00,18.0,12524.0,Germany,2011-01-10,2011-01,2011-01-10/2011-01-16,54.0
540566,M,MANUAL,1,2011-01-10 10:58:00,6.7,17811.0,United Kingdom,2011-01-10,2011-01,2011-01-10/2011-01-16,6.7
540642,POST,POSTAGE,7,2011-01-10 13:22:00,18.0,12681.0,France,2011-01-10,2011-01,2011-01-10/2011-01-16,126.0
540646,DOT,DOTCOM POSTAGE,1,2011-01-10 14:32:00,262.73,,United Kingdom,2011-01-10,2011-01,2011-01-10/2011-01-16,262.73
540681,DOT,DOTCOM POSTAGE,1,2011-01-10 16:25:00,223.35,,United Kingdom,2011-01-10,2011-01,2011-01-10/2011-01-16,223.35
540688,POST,POSTAGE,5,2011-01-11 07:57:00,18.0,12736.0,France,2011-01-11,2011-01,2011-01-10/2011-01-16,90.0
540769,POST,POSTAGE,1,2011-01-11 10:38:00,18.0,12601.0,Germany,2011-01-11,2011-01,2011-01-10/2011-01-16,18.0
540789,POST,POSTAGE,2,2011-01-11 11:48:00,18.0,12643.0,France,2011-01-11,2011-01,2011-01-10/2011-01-16,36.0
540801,POST,POSTAGE,6,2011-01-11 12:25:00,28.0,12540.0,Spain,2011-01-11,2011-01,2011-01-10/2011-01-16,168.0
