stock_code,description_count,total_units,total_revenue
72780,1,137,116.44999999999999
79337,1,644,259.96
72783,1,16,33.6
72798C,1,7,11.549999999999999
72811,1,53,78.92999999999999
79336,1,36,13.680000000000003
72133,1,45,63.51
79062D,1,52,19.4
79192A,1,3,3.75
79063C,1,235,43.65
79191D,1,35,37.61
79063D,1,189,35.14
79066K,1,783,689.34
79066k,1,17,27.77
79067,1,172,719.69
79191C,1,1105,812.53
79071B,1,20,59.0
79191B,1,159,138.29999999999998
79144B,1,180,103.22999999999999
79190D,1,265,126.97999999999999
79144C,1,152,98.11999999999999
79149B,1,18,7.56
79151B,1,11,4.62
79190B,1,707,288.36
79157B,1,4,3.4
79190A,1,384,179.35999999999999
79164,1,1666,697.62
79163,1,1529,626.55
79157V,1,5,4.25
79302M,1,370,1037.54
79026B,1,25,10.61
72815,1,3,15.97
79000,1,4162,3357.34
79331,1,26,17.5
79329,1,12,12.18
72816,1,892,1005.3199999999999
72817,1,1212,1232.27
79323P,1,4,27.0
72818,1,1845,821.98
72819,1,225,509.07
72821,1,11,18.15
75011,1,172,138.76
75013B,1,25,41.24999999999999
79323B,1,8,54.0
75049L,1,7102,6812.98
75131,1,490,529.21
75172,1,93,85.31
79321,1,10302,54096.36
75178,1,459,218.87
77079,1,1,2.12
77101A,1,387,426.94
78033,1,38,185.3
78034B,1,8,15.6
78124,1,198,256.5
72134,1,105,58.62
72132,1,28,54.599999999999994
47566B,1,2379,11275.27
47591D,1,3207,6052.45
47591d,1,134,672.24
82551,1,2918,4542.889999999999
82494l,1,264,2211.6
82494L,1,6735,19599.49
47593A,1,33,14.37
47593B,1,1987,946.13
47593b,1,6,4.9799999999999995
47594A,1,108,199.84
47594B,1,170,314.54999999999995
47599A,1,2456,4649.5
47599B,1,1480,2822.32
48111,1,1172,7708.48
48116,1,1491,9080.68
48129,1,904,6009.84
48138,1,3751,25534.15
82484,1,6012,35966.92
48173C,1,1799,10000.66
48173c,1,15,252.95000000000002
48184,1,2035,14300.15
48185,1,3615,23872.91
82483,1,2386,15123.92
47591b,1,1,4.13
47591B,1,209,344.78999999999996
48187,1,3807,24108.39
47590b,1,12,129.48
47566b,1,199,1651.1499999999999
47567B,1,602,3414.5000000000005
82582,1,4365,8858.79
47570B,1,185,1727.23
47570b,1,2,42.019999999999996
47574A,1,548,665.2
47574B,1,4,17.0
82581,1,3883,2155.8900000000003
47578A,1,213,197.43
47579,1,1,2.1
82580,1,5881,3473.21
47580,1,388,1116.72
47585A,1,264,1129.44
47586A,1,21,53.55
82578,1,2058,1217.8500000000001
82567,1,711,1408.07
47589,1,13,70.85000000000001
79160,1,444,795.83
47590A,1,1990,10491.75
47590B,1,2323,12050.12
82552,1,3012,4674.83
82482,1,8986,23057.06
48188,1,2064,12107.02
72131,1,136,236.39999999999998
71101E,1,346,278.5
71215,1,11,4.62
71270,1,236,334.98
71279,1,175,558.37
71403,1,76,283.96000000000004
71406C,1,138,57.96
35833G,1,2,6.72
81953P,1,28,5.32
81953B,1,11,2.09
81952V,1,365,69.35
71495A,1,103,40.379999999999995
71495B,1,163,61.05
71496A,1,127,80.96000000000001
71496B,1,13,7.37
71510,1,52,36.519999999999996
72024U,1,72,15.120000000000001
72051S,1,130,89.52999999999999
72122,1,324,335.78999999999996
72127,1,169,210.61
72128,1,193,152.04999999999998
81952B,1,200,38.0
72130,1,219,133.34
82011A,1,18,67.5
82011B,1,43,146.85
48189,1,27,451.10999999999996
71050,1,33,11.549999999999999
48194,1,3416,22114.42
51008,1,519,1690.5500000000002
51014A,1,3842,2000.06
51014C,1,2687,1405.73
51014L,1,2059,1069.1399999999999
51014c,1,1,0.83
51020A,1,325,116.32999999999998
51020B,1,197,70.57
62018,1,4415,5716.85
62043B,1,17,14.11
82095,1,68,356.11
82011C,1,51,172.05
62074B,1,16,6.72
62086A,1,88,171.6
62094B,1,19,63.209999999999994
62096A,1,106,132.5
62096B,1,2,2.5
62097B,1,9,7.469999999999999
70006,1,2702,1863.98
70007,1,841,956.36
71038,1,238,1239.5
35833P,1,49,88.47
23636,1,9,26.19
35819P,1,95,66.55
23337,1,180,388.75
23339,1,173,400.84000000000003
23340,1,2500,4034.08
23341,1,307,2741.35
23343,1,6078,13972.710000000001
23344,1,10285,23772.07
23345,1,2451,2886.25
23346,1,2628,3112.34
23347,1,860,1077.3
23348,1,746,1633.81
23349,1,3221,4342.6
23350,1,2712,3445.08
23351,1,3535,4875.65
23352,1,1800,2459.2
23353,1,4007,3510.0499999999997
23354,1,3740,3429.3999999999996
23355,1,5816,28718.800000000003
23356,1,2359,13334.320000000002
23357,1,450,1982.0500000000002
23358,1,594,2008.38
23365,1,1857,1463.0800000000002
23367,1,3278,2491.2000000000003
23368,1,2379,1679.5500000000002
23369,1,1105,1581.06
23338,1,431,915.4000000000001
23336,1,225,519.25
23308,1,6139,3272.61
23335,1,377,790.7800000000001
23310,1,12050,4997.28
23311,1,2390,6488.2
23312,1,1423,5964.150000000001
23313,1,2990,15798.66
23314,1,407,5012.96
23315,1,213,2094.24
23316,1,250,2501.64
23317,1,173,1777.46
23318,1,3809,9162.41
23319,1,3720,9219.53
23320,1,2661,7053.57
23321,1,4716,8438.539999999999
23322,1,3069,8878.210000000001
23323,1,1469,3146.78
23326,1,3442,2237.08
23327,1,1734,1051.14
23328,1,2841,13269.49
23329,1,1767,3038.1899999999996
23330,1,1794,2286.97
23331,1,1596,1062.28
23332,1,2059,3542.7099999999996
23333,1,2089,2695.45
23334,1,2271,1491.75
23371,1,1705,2304.78
23372,1,1389,1750.29
23373,1,1608,1313.3899999999999
23374,1,2456,1962.83
23414,1,141,1378.75
23415,1,328,412.17999999999995
23416,1,132,184.67999999999998
23417,1,146,157.5
23418,1,557,1166.0
23419,1,473,1043.72
23420,1,164,351.37
23421,1,160,349.2
23422,1,213,477.89
23423,1,219,876.9
23424,1,462,2509.62
23425,1,275,621.44
23426,1,1275,3444.4300000000003
23427,1,237,2860.58
23428,1,77,675.91
23429,1,47,400.01
23430,1,36,301.88
23431,1,1449,1171.23
23432,1,1276,1088.36
23433,1,1258,1108.58
23434,1,2095,1884.17
23435,1,824,732.4200000000001
23439,1,3986,8855.51
23412,1,358,2354.8
23411,1,227,1118.6100000000001
23410,1,36,290.1
23395,1,748,3257.08
23375,1,1342,1100.6899999999998
23376,1,3039,1384.9099999999999
23377,1,1351,592.4499999999999
23378,1,3997,1840.08
23379,1,1220,465.36
23381,1,1496,562.88
23382,1,1875,7356.18
23392,1,662,1475.03
23393,1,801,3207.91
23394,1,435,1877.65
23397,1,489,5097.65
23409,1,215,801.6800000000001
23398,1,606,535.35
23399,1,1914,1745.55
23400,1,461,2409.34
23401,1,459,2354.87
23403,1,625,2204.11
23404,1,1011,4561.76
23405,1,252,1311.48
23406,1,456,2422.6600000000003
23407,1,265,2709.43
23408,1,310,644.8000000000001
23309,1,8275,4495.85
23307,1,12049,6371.89
35819B,1,268,106.05
23181,1,201,1733.57
23183,1,226,967.17
23184,1,874,4764.5
23185,1,317,114.85
23186,1,1982,819.4599999999999
23187,1,2338,695.06
23189,1,1249,3507.51
23190,1,1702,2761.8999999999996
23192,1,3516,6114.24
23193,1,1922,4079.28
23198,1,3342,5062.599999999999
23199,1,14908,30450.690000000002
23200,1,7067,14188.960000000001
23201,1,13366,27850.83
23202,1,10941,21810.43
23204,1,7976,7741.94
23206,1,12147,20852.579999999998
23207,1,7830,13325.55
23208,1,6308,10441.91
23210,1,2849,3551.53
23211,1,2329,2930.57
23213,1,1682,2138.42
23215,1,3564,7038.400000000001
23216,1,525,630.73
23182,1,3741,3688.2099999999996
23180,1,122,621.09
23305,1,82,159.9
23179,1,324,930.48
23154,1,2701,5842.88
23155,1,2221,1904.77
23156,1,1665,3423.29
23157,1,2557,5143.06
23158,1,2633,5513.83
23159,1,2293,4713.52
23160,1,1450,1794.48
23161,1,1715,2145.3
23162,1,1412,5143.6900000000005
23163,1,1832,4515.22
23164,1,578,2718.65
23165,1,3114,5141.0599999999995
23166,1,78033,81700.92000000001
23167,1,5847,4476.009999999999
23170,1,6857,11097.249999999998
23171,1,6247,10051.99
23172,1,3861,6344.409999999999
23173,1,2766,24879.13
23174,1,3055,12342.43
23175,1,3160,9587.15
23176,1,2165,4693.08
23177,1,2532,5521.29
23178,1,327,936.89
23217,1,1309,1613.82
23218,1,379,483.03
23219,1,430,568.6
23220,1,993,869.15
23270,1,1174,1646.32
23272,1,364,562.2199999999999
23273,1,969,1649.0499999999997
23274,1,1180,2004.9999999999998
23275,1,3720,4521.72
23284,1,5487,38133.64
23285,1,4807,4572.41
23286,1,5048,4747.62
23287,1,1879,1603.3899999999999
23288,1,4625,4444.2300000000005
23289,1,1622,2013.7
23290,1,2430,2890.3500000000004
23291,1,1634,2059.03
23293,1,8471,6989.54
23294,1,4392,3607.81
23295,1,6134,5073.45
23296,1,4979,5985.55
23297,1,4303,6792.23
23300,1,6809,11785.99
23301,1,8807,16327.349999999999
23302,1,1536,2181.4199999999996
23303,1,65,126.75
23304,1,71,138.45
23269,1,779,1152.98
23268,1,1447,2018.1399999999999
23267,1,1202,1531.95
23234,1,1722,5079.78
23221,1,1536,1363.04
23222,1,799,718.53
23223,1,801,750.1899999999999
23224,1,738,649.02
23225,1,1355,1176.1699999999998
23226,1,1247,1596.67
23227,1,1642,2070.06
23228,1,1492,1960.0
23230,1,7976,3217.92
23233,1,5175,2105.5
23238,1,1849,7771.610000000001
23266,1,2053,2743.82
23239,1,842,3353.84
23241,1,2165,4669.55
23242,1,1470,3024.63
23243,1,4800,23489.420000000002
23245,1,6345,31118.550000000003
23247,1,2194,6681.25
23255,1,1014,4097.22
23263,1,3863,5147.19
23264,1,1963,2690.81
23265,1,1769,2404.79
23440,1,164,299.36
23441,1,22,9.24
23442,1,40,83.2
23632,1,15,31.200000000000003
23634,1,5,14.55
23635,1,3,12.48
84086C,1,218,622.27
23637,1,11,27.39
23638,1,2,5.82
23639,1,4,13.32
23640,1,9,22.410000000000004
23643,1,1,3.33
23644,1,5,16.65
23645,1,9,22.410000000000004
23646,1,8,19.92
23649,1,2,4.98
23650,1,4,9.96
23652,1,2,5.82
23654,1,5,12.450000000000001
23660,1,306,534.66
23661,1,219,393.59
23664,1,1,1.65
23681,1,1576,2525.04
23692,1,50,21.0
23694,1,376,165.07999999999998
23695,1,741,313.24
23697,1,456,194.58
23633,1,3,7.470000000000001
23630,1,2,5.48
23444,1,79,1200.0
23629,1,24,59.760000000000005
23603,1,20,49.800000000000004
23604,1,4,6.64
23605,1,4,11.64
23607,1,8,13.28
23608,1,4,11.64
23609,1,1,2.91
23610,1,3,6.24
23611,1,40,99.60000000000001
23612,1,5,8.299999999999999
23613,1,11,27.39
23614,1,26,86.58000000000001
23615,1,4,9.96
23616,1,8,19.92
23617,1,2,5.82
23619,1,4,9.96
23620,1,10,24.900000000000002
23621,1,6,14.940000000000001
23623,1,8,23.28
23624,1,4,9.96
23625,1,9,44.910000000000004
23626,1,43,107.07000000000001
23627,1,7,17.43
23628,1,1,2.91
23702,1,4,27.0
23843,1,80995,168469.6
35001G,1,198,677.34
35001W,1,92,270.02000000000004
35610B,1,24,30.0
35610C,1,25,32.51
35637A,1,170,440.62
35637C,1,30,100.86
35638A,1,38,82.1
35638B,1,57,128.32999999999998
35645,1,4,17.0
35646,1,619,937.25
35647,1,13,16.25
35648,1,979,1066.6599999999999
35649,1,57,156.85
35650,1,1,4.95
35651,1,451,985.8399999999999
35653,1,150,433.19
35809A,1,420,488.06
35809B,1,8,9.18
35809a,1,9,37.33
35810A,1,633,640.0899999999999
35810B,1,152,174.09
35815P,1,162,63.28000000000001
35816P,1,78,29.64
35818B,1,31,11.780000000000001
35818P,1,263,105.83
35610A,1,10,15.02
35609A,1,1,2.51
35607B,1,96,18.240000000000002
35443,1,8,6.8
35004B,1,577,2934.8100000000004
35004C,1,394,1888.1000000000001
35004G,1,127,454.65
35004P,1,1,5.45
35095A,1,925,388.57
35095B,1,862,352.25
35241,1,103,530.49
35265,1,17,52.2
35271S,1,19,3.6100000000000003
35400,1,10,89.5
35471D,1,1848,979.11
35607A,1,26,7.82
35591T,1,5,6.25
35597A,1,1,1.25
35597B,1,1,1.25
35597D,1,46,17.48
35598A,1,9,26.550000000000004
35598B,1,558,460.64
35598C,1,2,5.9
35598D,1,684,493.01
35599B,1,217,551.13
35599D,1,201,553.07
23602,1,1,2.91
23601,1,8,19.92
23598,1,427,1215.53
23508,1,2627,1163.45
23479,1,113,872.38
23480,1,1798,6719.14
23481,1,228,281.17
23482,1,418,661.02
23483,1,1328,1636.36
23485,1,262,5843.92
23486,1,275,4145.47
23487,1,80,795.5799999999999
23490,1,542,2032.77
23491,1,228,1897.76
23492,1,76,635.38
23493,1,3964,8497.98
23494,1,809,5354.01
23495,1,225,306.66
23496,1,112,154.52
23498,1,1640,2372.68
23499,1,1312,586.23
23500,1,1626,2038.33
23501,1,1821,2217.87
23503,1,3643,4860.55
23504,1,1927,2848.89
23505,1,1200,1651.29
23506,1,2723,1129.1200000000001
23478,1,285,324.40000000000003
23477,1,92,123.47
23476,1,205,264.72
23460,1,108,1007.0799999999999
23445,1,2668,2161.24
23446,1,157,230.24999999999997
23447,1,158,231.89999999999998
23448,1,25,41.24999999999999
23449,1,12,15.0
23451,1,277,556.17
23452,1,518,1021.76
23453,1,316,615.98
23458,1,51,762.4499999999999
23459,1,33,412.5
23461,1,847,3041.21
23475,1,286,242.17999999999998
23463,1,13,139.39999999999998
23464,1,18,99.2
23467,1,32,120.08000000000001
23468,1,19,156.75
23469,1,332,1355.24
23470,1,232,1460.5
23471,1,65,616.79
23472,1,58,894.42
23473,1,678,552.02
23474,1,312,270.96
23507,1,2882,1155.67
23509,1,1062,451.46000000000004
23597,1,249,679.07
23510,1,2521,1118.8
23557,1,350,3930.27
23558,1,415,4703.87
23559,1,649,1482.41
23560,1,172,499.18
23561,1,170,476.0
23562,1,251,724.59
23564,1,644,841.31
23565,1,410,586.31
23566,1,881,1156.93
23567,1,211,291.58
23568,1,630,787.52
23569,1,954,4717.66
23570,1,2772,4931.87
23571,1,2841,6406.91
23574,1,14,105.0
23575,1,179,367.34999999999997
23576,1,198,400.03999999999996
23578,1,60,125.72
23579,1,169,358.75
23580,1,116,234.92
23581,1,5020,11581.83
23582,1,4802,10206.41
23583,1,3385,5497.33
23556,1,436,4937.01
23555,1,421,4780.57
23554,1,422,4805.53
23531,1,976,5538.26
23511,1,571,1252.01
23512,1,500,975.24
23513,1,566,1114.26
23514,1,478,977.39
23515,1,579,1164.98
23516,1,296,1058.6
23517,1,334,996.38
23518,1,361,980.41
23519,1,224,792.31
23520,1,167,600.55
23532,1,210,901.58
23553,1,568,6444.65
23533,1,215,998.64
23538,1,331,1329.54
23544,1,164,1015.78
23546,1,3250,1365.0
23547,1,1575,661.5
23548,1,1075,451.5
23549,1,1305,548.1
23550,1,1855,763.1
23551,1,1840,839.8399999999999
23552,1,1863,3881.91
84086B,1,16,47.2
84247N,1,22,64.9
84192,1,111,138.75
90027B,1,3,8.76
90027D,1,9,28.4
90028,1,16,134.16
90029,1,5,42.14
90030A,1,72,72.0
90030B,1,122,190.73000000000002
90030C,1,77,91.7
90031,1,50,59.89
90032,1,21,103.13
90033,1,10,25.07
90034,1,2,20.17
90035A,1,5,53.62
90035C,1,2,21.5
90036A,1,6,47.7
90036B,1,4,31.8
90036C,1,9,71.4
90036D,1,12,95.35000000000001
90036E,1,14,110.95
90036F,1,8,64.08
90037A,1,1,2.48
90037B,1,10,25.279999999999998
90037C,1,5,12.52
90038A,1,15,56.15
90038B,1,13,48.77
90038C,1,9,33.69
90039A,1,8,29.96
90039B,1,11,41.31
90039C,1,6,22.48
90027C,1,5,14.5
90027A,1,6,17.66
90040A,1,14,54.290000000000006
90026D,1,3,25.5
90013D,1,6,25.17
90016A,1,17,105.71000000000001
90016B,1,22,184.66
90016C,1,3,24.96
90018A,1,46,193.33
90018B,1,22,92.28
90018C,1,12,50.400000000000006
90019A,1,38,197.09
90019B,1,18,96.52000000000001
90019C,1,13,68.73
90020,1,1,12.48
90021,1,1,11.95
90022,1,24,90.2
90023,1,13,55.02
90024B,1,8,67.28
90024C,1,4,33.81
90024D,1,2,16.82
90024E,1,2,16.810000000000002
90024F,1,5,42.13
90025A,1,2,7.5
90025B,1,1,3.73
90025D,1,3,11.19
90025E,1,1,3.73
90025F,1,4,14.96
