stock_code,description,invoice_month,monthly_units,monthly_revenue,order_count,avg_unit_price
15039,SANDALWOOD FAN,2011-11,208,303.93999999999994,20,1.279
15039,SANDALWOOD FAN,2011-12,47,75.05,6,1.3699999999999999
15044A,PINK PAPER PARASOL,2010-12,6,17.700000000000003,1,2.95
15044A,PINK PAPER PARASOL,2011-01,20,59.0,3,2.9500000000000006
15044A,PINK PAPER PARASOL,2011-02,13,49.71,5,3.518
15044A,PINK PAPER PARASOL,2011-03,89,248.23000000000002,10,3.478
15044A,PINK PAPER PARASOL,2011-04,42,132.42000000000002,10,3.518
15044A,PINK PAPER PARASOL,2011-05,73,229.55,18,3.738888888888889
15044A,PINK PAPER PARASOL,2011-06,63,202.89000000000001,16,3.4825
15044A,PINK PAPER PARASOL,2011-07,53,164.87000000000003,10,3.8020000000000005
15044A,PINK PAPER PARASOL,2011-08,27,102.37,8,4.37
15044A,PINK PAPER PARASOL,2011-09,32,102.92000000000002,7,3.7614285714285716
15044A,PINK PAPER PARASOL,2011-10,3,8.850000000000001,1,2.95
15044A,PINK PAPER PARASOL,2011-11,34,105.98000000000002,10,3.518
15044A,PINK PAPER PARASOL,2011-12,3,14.530000000000001,3,4.843333333333334
15044B,BLUE PAPER PARASOL,2010-12,3,11.81,3,3.936666666666667
15044B,BLUE PAPER PARASOL,2011-01,24,70.80000000000001,2,2.95
15044B,BLUE PAPER PARASOL,2011-02,16,52.88000000000001,5,4.086
15044B,BLUE PAPER PARASOL,2011-03,70,192.18,6,3.83
15044B,BLUE PAPER PARASOL,2011-04,28,93.96000000000001,10,3.8020000000000005
15044B,BLUE PAPER PARASOL,2011-05,112,318.92,17,3.260588235294118
15044B,BLUE PAPER PARASOL,2011-06,37,114.83000000000001,11,3.4663636363636368
15044B,BLUE PAPER PARASOL,2011-07,25,73.75,4,2.95
15044B,BLUE PAPER PARASOL,2011-09,6,17.700000000000003,2,2.95
15044C,PURPLE PAPER PARASOL,2010-12,10,38.38,4,4.43
15044C,PURPLE PAPER PARASOL,2011-01,7,40.53,2,5.79
15044C,PURPLE PAPER PARASOL,2011-02,8,23.6,2,2.95
15044C,PURPLE PAPER PARASOL,2011-03,82,233.26,10,4.046
15044C,PURPLE PAPER PARASOL,2011-04,16,67.08,9,4.527777777777778
15044C,PURPLE PAPER PARASOL,2011-05,35,114.61000000000001,13,3.823846153846154
15044C,PURPLE PAPER PARASOL,2011-06,44,144.00000000000003,14,3.5585714285714287
15044C,PURPLE PAPER PARASOL,2011-07,40,135.04000000000002,10,4.086
15044C,PURPLE PAPER PARASOL,2011-08,16,55.720000000000006,5,4.086
15044C,PURPLE PAPER PARASOL,2011-09,31,97.13000000000001,7,3.355714285714286
15044C,PURPLE PAPER PARASOL,2011-10,6,20.540000000000003,4,3.66
15044C,PURPLE PAPER PARASOL,2011-11,16,47.2,6,2.9500000000000006
15044C,PURPLE PAPER PARASOL,2011-12,2,5.9,2,2.95
15044D,RED PAPER PARASOL,2010-12,1,5.91,1,5.91
15044D,RED PAPER PARASOL,2011-01,33,100.19,5,3.518
15044D,RED PAPER PARASOL,2011-02,8,29.28,2,4.37
15044D,RED PAPER PARASOL,2011-03,133,355.18999999999994,9,3.1766666666666667
15044D,RED PAPER PARASOL,2011-04,28,85.44000000000001,11,3.208181818181818
15044D,RED PAPER PARASOL,2011-05,68,206.28000000000003,14,3.355714285714286
15044D,RED PAPER PARASOL,2011-06,35,106.09,9,3.2655555555555558
15044D,RED PAPER PARASOL,2011-07,109,293.55,8,2.9000000000000004
15044D,RED PAPER PARASOL,2011-08,25,90.79,6,4.37
15044D,RED PAPER PARASOL,2011-09,100,266.2,7,2.892857142857143
15044D,RED PAPER PARASOL,2011-10,78,201.29999999999998,3,2.8166666666666664
15044D,RED PAPER PARASOL,2011-11,24,73.64000000000001,8,3.305
15044D,RED PAPER PARASOL,2011-12,2,5.9,1,2.95
15056BL,EDWARDIAN PARASOL BLACK,2010-12,194,1184.46,34,6.827941176470588
15056BL,EDWARDIAN PARASOL BLACK,2011-01,193,1047.88,24,6.680416666666667
15056BL,EDWARDIAN PARASOL BLACK,2011-02,115,684.25,17,5.95
15056BL,EDWARDIAN PARASOL BLACK,2011-03,122,725.9,15,5.95
15056BL,EDWARDIAN PARASOL BLACK,2011-04,91,547.96,15,6.384
15056BL,EDWARDIAN PARASOL BLACK,2011-05,198,1077.63,23,6.712173913043478
15056BL,EDWARDIAN PARASOL BLACK,2011-06,144,812.33,24,6.597083333333334
15056BL,EDWARDIAN PARASOL BLACK,2011-07,515,2700.56,32,5.9753125
15056BL,EDWARDIAN PARASOL BLACK,2011-08,221,1228.01,25,6.3508000000000004
15056BL,EDWARDIAN PARASOL BLACK,2011-09,261,1495.77,34,6.253529411764706
15056BL,EDWARDIAN PARASOL BLACK,2011-10,549,2892.57,35,6.179142857142858
15056BL,EDWARDIAN PARASOL BLACK,2011-11,169,983.59,35,6.4794285714285715
15056BL,EDWARDIAN PARASOL BLACK,2011-12,72,447.93000000000006,8,8.39125
15056N,EDWARDIAN PARASOL NATURAL,2010-12,141,818.37,31,6.987096774193549
15056N,EDWARDIAN PARASOL NATURAL,2011-01,139,832.34,33,7.295151515151516
15056N,EDWARDIAN PARASOL NATURAL,2011-02,275,1495.3100000000002,35,6.450857142857143
15056N,EDWARDIAN PARASOL NATURAL,2011-03,480,2584.08,43,6.765348837209303
15056N,EDWARDIAN PARASOL NATURAL,2011-04,180,1063.0800000000002,29,6.813448275862069
15056N,EDWARDIAN PARASOL NATURAL,2011-05,346,1937.2900000000002,32,6.8734375000000005
15056N,EDWARDIAN PARASOL NATURAL,2011-06,398,2224.25,48,7.5200000000000005
15056N,EDWARDIAN PARASOL NATURAL,2011-07,700,3762.1600000000003,51,7.216862745098039
15056N,EDWARDIAN PARASOL NATURAL,2011-08,420,2352.57,39,6.682051282051282
15056N,EDWARDIAN PARASOL NATURAL,2011-09,350,2053.64,42,6.66046511627907
15056N,EDWARDIAN PARASOL NATURAL,2011-10,275,1603.3100000000002,32,6.70125
15056N,EDWARDIAN PARASOL NATURAL,2011-11,162,912.45,31,6.935483870967742
15056N,EDWARDIAN PARASOL NATURAL,2011-12,84,513.84,10,7.803
15056P,EDWARDIAN PARASOL PINK,2010-12,73,383.09,12,6.965833333333333
15056P,EDWARDIAN PARASOL PINK,2011-01,16,101.71000000000001,7,6.880000000000001
15056P,EDWARDIAN PARASOL PINK,2011-02,25,148.75,9,5.95
15056P,EDWARDIAN PARASOL PINK,2011-03,36,220.71,11,6.541818181818183
15056P,EDWARDIAN PARASOL PINK,2011-04,96,517.71,12,6.409166666666667
15056P,EDWARDIAN PARASOL PINK,2011-05,77,404.66,7,6.7371428571428575
15056P,EDWARDIAN PARASOL PINK,2011-06,28,166.60000000000002,8,5.95
15056P,EDWARDIAN PARASOL PINK,2011-07,144,795.21,16,6.21
15056P,EDWARDIAN PARASOL PINK,2011-08,79,470.05000000000007,11,5.95
15056P,EDWARDIAN PARASOL PINK,2011-09,48,285.6,17,5.95
15056P,EDWARDIAN PARASOL PINK,2011-10,48,258.6,11,5.859090909090909
15056P,EDWARDIAN PARASOL PINK,2011-11,87,489.18,20,6.8765
15056P,EDWARDIAN PARASOL PINK,2011-12,19,113.05000000000001,3,5.95
15056bl,EDWARDIAN PARASOL BLACK,2010-12,11,139.92000000000002,7,12.72
15056bl,EDWARDIAN PARASOL BLACK,2011-01,3,37.38,3,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-02,8,99.68,7,12.459999999999999
15056bl,EDWARDIAN PARASOL BLACK,2011-03,3,37.38,3,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-04,5,62.300000000000004,5,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-05,9,112.14000000000001,9,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-06,11,137.06,6,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-07,2,24.92,2,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-08,10,124.60000000000001,4,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-09,8,99.68,5,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-10,5,62.300000000000004,4,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-11,7,87.22,5,12.46
15056bl,EDWARDIAN PARASOL BLACK,2011-12,5,62.300000000000004,2,12.46
15056n,EDWARDIAN PARASOL NATURAL,2010-12,11,139.92000000000002,8,12.72
15056n,EDWARDIAN PARASOL NATURAL,2011-01,2,24.92,2,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-02,5,62.300000000000004,5,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-03,10,124.60000000000001,9,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-04,3,37.38,3,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-05,14,174.44,12,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-06,11,137.06,9,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-07,22,274.12,15,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-08,21,261.66,4,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-09,10,124.60000000000001,4,12.46
15056n,EDWARDIAN PARASOL NATURAL,2011-10,11,137.06,7,12.459999999999999
15056n,EDWARDIAN PARASOL NATURAL,2011-11,7,87.22,6,12.46
15056p,EDWARDIAN PARASOL PINK,2010-12,5,63.6,4,12.72
15056p,EDWARDIAN PARASOL PINK,2011-01,2,24.92,2,12.46
15056p,EDWARDIAN PARASOL PINK,2011-02,1,12.46,1,12.46
15056p,EDWARDIAN PARASOL PINK,2011-03,1,12.46,1,12.46
15056p,EDWARDIAN PARASOL PINK,2011-04,2,24.92,2,12.46
15056p,EDWARDIAN PARASOL PINK,2011-05,5,62.300000000000004,4,12.46
15056p,EDWARDIAN PARASOL PINK,2011-06,5,62.300000000000004,3,12.46
15056p,EDWARDIAN PARASOL PINK,2011-07,3,37.38,3,12.46
15056p,EDWARDIAN PARASOL PINK,2011-08,5,62.300000000000004,2,12.46
15056p,EDWARDIAN PARASOL PINK,2011-09,1,12.46,1,12.46
15056p,EDWARDIAN PARASOL PINK,2011-10,1,12.46,1,12.46
15056p,EDWARDIAN PARASOL PINK,2011-11,1,12.46,1,12.46
15056p,EDWARDIAN PARASOL PINK,2011-12,1,12.46,1,12.46
15058A,BLUE POLKADOT GARDEN PARASOL,2010-12,1,7.95,1,7.95
15058A,BLUE POLKADOT GARDEN PARASOL,2011-03,9,88.56,5,11.352
15058A,BLUE POLKADOT GARDEN PARASOL,2011-04,18,148.78,9,8.581111111111111
15058A,BLUE POLKADOT GARDEN PARASOL,2011-05,56,478.0,21,9.188095238095238
15058A,BLUE POLKADOT GARDEN PARASOL,2011-06,65,509.15000000000003,23,9.028260869565216
15058A,BLUE POLKADOT GARDEN PARASOL,2011-07,16,138.56,11,8.982727272727272
15058A,BLUE POLKADOT GARDEN PARASOL,2011-08,24,193.0,10,9.25
15058A,BLUE POLKADOT GARDEN PARASOL,2011-09,5,48.269999999999996,4,9.37
15058A,BLUE POLKADOT GARDEN PARASOL,2011-10,4,40.31999999999999,4,10.079999999999998
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,2,15.9,1,7.95
15058B,PINK POLKADOT GARDEN PARASOL,2010-12,1,7.95,1,7.95
15058B,PINK POLKADOT GARDEN PARASOL,2011-01,3,23.85,1,7.95
15058B,PINK POLKADOT GARDEN PARASOL,2011-02,1,24.96,1,24.96
15058B,PINK POLKADOT GARDEN PARASOL,2011-03,8,97.62,4,16.455000000000002
15058B,PINK POLKADOT GARDEN PARASOL,2011-04,19,156.73,7,8.355714285714287
15058B,PINK POLKADOT GARDEN PARASOL,2011-05,78,553.42,25,9.2668
15058B,PINK POLKADOT GARDEN PARASOL,2011-06,59,481.33,21,9.323333333333332
15058B,PINK POLKADOT GARDEN PARASOL,2011-07,19,185.13,14,10.18142857142857
15058B,PINK POLKADOT GARDEN PARASOL,2011-08,32,273.64,16,9.649999999999999
15058B,PINK POLKADOT GARDEN PARASOL,2011-09,7,72.69,6,10.316666666666665
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,1,7.95,1,7.95
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-02,4,31.8,1,7.95
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-03,14,88.31,4,11.2025
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-04,14,142.51,9,11.102222222222222
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-05,97,488.07,20,7.970000000000001
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-06,60,294.04,11,8.771818181818182
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-07,33,205.07,12,9.176666666666666
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-08,11,107.33,9,10.158888888888889
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-09,4,40.32,3,9.843333333333332
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-10,1,10.79,1,10.79
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,1,10.79,1,10.79
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-12,1,10.79,1,10.79
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-12,56,257.2,22,5.680909090909091
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-01,45,191.29,15,5.2219999999999995
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-02,23,118.03,12,6.398333333333333
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-03,19,84.87,7,5.047142857142857
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-04,5,27.83,4,6.02
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-05,31,120.78999999999999,8,4.3175
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-06,16,73.62,10,5.112
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-07,44,169.54,12,4.128333333333333
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-08,95,317.33,13,4.386923076923077
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-09,77,306.90999999999997,18,4.506666666666667
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-10,22,87.03999999999999,9,4.254444444444444
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,18,53.1,1,2.95
15060b,FAIRY CAKE DESIGN UMBRELLA,2011-09,1,8.29,1,8.29
15060b,FAIRY CAKE DESIGN UMBRELLA,2011-10,1,8.29,1,8.29
15060b,FAIRY CAKE DESIGN UMBRELLA,2011-11,1,8.29,1,8.29
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-12,14,3.5,2,0.25
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-02,20,5.0,1,0.25
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-03,72,18.0,1,0.25
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-04,264,25.2,2,0.165
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-06,49,12.25,4,0.25
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-07,128,15.36,9,0.12000000000000001
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-08,458,54.96,8,0.12
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-09,268,32.16,11,0.11999999999999998
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-10,342,41.04,12,0.12
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,941,112.92,16,0.12
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-12,336,40.31999999999999,4,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2010-12,12,1.44,1,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2011-02,12,1.44,1,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2011-03,6,0.72,1,0.12
16011,ANIMAL STICKERS,2010-12,94,19.740000000000002,4,0.21
16011,ANIMAL STICKERS,2011-01,191,40.11,4,0.21
16011,ANIMAL STICKERS,2011-02,72,15.120000000000001,2,0.21
16011,ANIMAL STICKERS,2011-03,147,30.869999999999997,3,0.21
16011,ANIMAL STICKERS,2011-04,195,40.95,3,0.21
16011,ANIMAL STICKERS,2011-05,64,13.440000000000001,2,0.21
16011,ANIMAL STICKERS,2011-06,54,11.34,2,0.21
16011,ANIMAL STICKERS,2011-07,189,39.69,4,0.21
16011,ANIMAL STICKERS,2011-08,192,40.32,5,0.21000000000000002
16011,ANIMAL STICKERS,2011-09,48,10.08,2,0.21
16011,ANIMAL STICKERS,2011-10,119,24.990000000000002,4,0.21
16011,ANIMAL STICKERS,2011-11,359,75.39,10,0.21000000000000002
16011,ANIMAL STICKERS,2011-12,25,5.25,1,0.21
16012,FOOD/DRINK SPONGE STICKERS,2010-12,120,25.2,4,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-01,96,20.16,3,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-02,48,10.08,2,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-03,360,75.6,5,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-04,28,5.88,2,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-05,133,27.93,3,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-06,24,5.04,1,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-07,194,40.74,5,0.21000000000000002
16012,FOOD/DRINK SPONGE STICKERS,2011-09,24,5.04,1,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-11,168,35.28,7,0.21
16012,FOOD/DRINK SPONGE STICKERS,2011-12,25,5.25,2,0.21
16014,SMALL CHINESE STYLE SCISSOR,2010-12,1029,332.18,6,0.4033333333333333
